id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
125,2-Ethyl-C15,Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,21,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,,Medium (RON ~50-70),Excellent (>1 year)
126,3-Ethyl-C15,Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,21,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,,Medium (RON ~50-70),Excellent (>1 year)
127,2-Methyl-C16,Branched alkanes,Alkanes,Diesel,16,226.432,664555258312.6898,18,4227858,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,109.45987255372644,1.826432,WallProximity.SAFE,True,0.0,0.0,0.7130099647144913,0.2039254938149209,True,,Medium (RON ~50-70),Excellent (>1 year)
128,3-Methyl-C16,Branched alkanes,Alkanes,Diesel,16,226.432,664555258312.6898,18,4227858,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,109.45987255372644,1.826432,WallProximity.SAFE,True,0.0,0.0,0.7130099647144913,0.2039254938149209,True,,Medium (RON ~50-70),Excellent (>1 year)
274,Cyclo-C10H20,Cycloalkanes,Cycloalkanes,Diesel,10,140.26,844370560040.8063,12,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0020964232055424,CoherenceRegime.SUBCOHERENT,42.33030056808538,1.14026,WallProximity.CAUTION,True,0.0,0.0024374381697527,0.8108391997578444,0.1626651352211253,True,,High (RON ~90-120),Excellent (>1 year)
279,Cyclo-C11H22,Cycloalkanes,Cycloalkanes,Diesel,11,154.286,805075740459.2579,13,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,51.21966368738332,1.254286,WallProximity.CAUTION,True,0.0,0.0,0.8226841066171374,0.1709436722527703,True,,High (RON ~90-120),Excellent (>1 year)
284,Cyclo-C12H24,Cycloalkanes,Cycloalkanes,Diesel,12,168.312,770801337712.6996,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,60.955632818042965,1.3683120000000002,WallProximity.SAFE,True,0.0,0.0,0.8231092971646984,0.1785013844306502,True,,High (RON ~90-120),Excellent (>1 year)
288,Cyclo-C13H26,Cycloalkanes,Cycloalkanes,Diesel,13,182.338,740561970950.5564,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,,High (RON ~90-120),Excellent (>1 year)
291,Cyclo-C14H28,Cycloalkanes,Cycloalkanes,Diesel,14,196.364,713623371385.9878,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,,High (RON ~90-120),Excellent (>1 year)
321,1-C13ene,Linear alkenes,Alkenes,Diesel,13,182.338,740561970950.5564,14,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,,Medium (RON ~50-70),Excellent (>1 year)
