id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error
20,n-C20H42,Linear alkanes,Alkanes,Diesel,20,282.536,594926211713.4329,20,5272410,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,170.6888122194498,2.282536,WallProximity.SAFE,True,0.0,0.0,0.5172880014063855,0.223220505626067,True,
21,n-C21H44,Linear alkanes,Alkanes,Heavy oil,21,296.562,580687194654.7695,21,5534554,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,188.11256216428495,2.3965620000000003,WallProximity.SAFE,True,0.0,0.0,0.4641622042192316,0.2274417798721354,True,
22,n-C22H46,Linear alkanes,Alkanes,Heavy oil,22,310.588,567423951632.568,22,5796698,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,206.38291812048178,2.5105880000000003,WallProximity.SAFE,True,0.0,0.0,0.411941542112675,0.23146737488029628,True,
23,n-C23H48,Linear alkanes,Alkanes,Heavy oil,23,324.61400000000003,555029896519.2572,23,6058842,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,225.49988008804033,2.6246140000000002,WallProximity.SAFE,True,0.0,0.0,0.36163842182956707,0.23531463152733306,True,
24,n-C24H50,Linear alkanes,Alkanes,Heavy oil,24,338.64,543414061677.224,24,6321051,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,245.46344806696052,2.73864,WallProximity.SAFE,True,0.0,0.0,0.3140694284635896,0.2389986830533596,True,
25,n-C25H52,Linear alkanes,Alkanes,Heavy oil,25,352.666,532498273476.99066,25,6583203,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,266.2736220572425,2.852666,WallProximity.SAFE,True,0.0,0.0,0.2698503910645006,0.24253281459267773,True,
26,n-C26H54,Linear alkanes,Alkanes,Heavy oil,26,366.692,522214928026.6263,26,6845347,2,0.9166666666666666,1.0,1.0,0.08333333333333337,0.0,CoherenceRegime.SUBCOHERENT,287.93040205888616,2.966692,WallProximity.SAFE,True,0.0,0.0,0.22940181487957723,0.24592875236808748,True,
27,n-C27H56,Linear alkanes,Alkanes,Heavy oil,27,380.718,512505221974.3419,27,7107491,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,310.4337880718915,3.080718,WallProximity.SAFE,True,0.0,0.0,0.19296286963569234,0.24919689844114706,True,
28,n-C28H58,Linear alkanes,Alkanes,Heavy oil,28,394.744,503317732291.2979,28,7369699,3,0.875,0.975,1.0,0.09999999999999998,0.0,CoherenceRegime.SUBCOHERENT,333.7837800962586,3.1947440000000005,WallProximity.SAFE,True,0.0,0.0,0.16061182420574474,0.2523465228730758,True,
29,n-C29H60,Linear alkanes,Alkanes,Heavy oil,29,408.77,494607266493.9285,29,7627747,0,1.0,1.0,0.0,0.0,0.0,CoherenceRegime.SUBCOHERENT,357.9803781319874,3.3087700000000004,WallProximity.SAFE,True,0.0,0.0,0.13229072477329437,0.2553859222446818,True,
