id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
24,n-C24H50,Linear alkanes,Alkanes,Heavy oil,24,338.64,543414061677.224,24,6321051,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,245.46344806696047,2.73864,WallProximity.SAFE,True,0.0,0.0,0.3140694284635896,0.2389986830533596,True,,Low (RON ~0-50),Excellent (>1 year)
26,n-C26H54,Linear alkanes,Alkanes,Heavy oil,26,366.692,522214928026.6263,26,6845347,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,287.93040205888616,2.966692,WallProximity.SAFE,True,0.0,0.0,0.2294018148795772,0.2459287523680874,True,,Low (RON ~0-50),Excellent (>1 year)
27,n-C27H56,Linear alkanes,Alkanes,Heavy oil,27,380.718,512505221974.3419,27,7107491,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,310.4337880718915,3.080718,WallProximity.SAFE,True,0.0,0.0,0.1929628696356923,0.249196898441147,True,,Low (RON ~0-50),Excellent (>1 year)
28,n-C28H58,Linear alkanes,Alkanes,Heavy oil,28,394.744,503317732291.2979,28,7369699,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,333.7837800962586,3.1947440000000005,WallProximity.SAFE,True,0.0,0.0,0.1606118242057447,0.2523465228730758,True,,Low (RON ~0-50),Excellent (>1 year)
30,n-C30H62,Linear alkanes,Alkanes,Heavy oil,30,422.796,486333924479.0623,30,7889891,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,383.0235821790778,3.422796,WallProximity.SAFE,True,0.0,0.0,0.1078322009129451,0.2583225513642143,True,,Low (RON ~0-50),Excellent (>1 year)
34,n-C34H70,Linear alkanes,Alkanes,Heavy oil,34,478.9,456959364182.06506,34,8937964,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,491.6624584810569,3.8789,WallProximity.SAFE,True,0.0,0.0,0.0429157825515955,0.2691667048442769,True,,Low (RON ~0-50),Excellent (>1 year)
36,n-C36H74,Linear alkanes,Alkanes,Heavy oil,36,506.952,444136616400.4935,36,9462252,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,551.0615327002166,4.106952,WallProximity.SAFE,True,0.0,0.0,0.0254525974212211,0.274120009580299,True,,Low (RON ~0-50),Excellent (>1 year)
39,n-C39H80,Linear alkanes,Alkanes,Heavy oil,39,549.03,426777939336.178,39,10248692,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,646.5096891141691,4.4490300000000005,WallProximity.SAFE,True,0.0,0.0,0.0107676025313474,0.2810575037951581,True,,Low (RON ~0-50),Excellent (>1 year)
40,n-C40H82,Linear alkanes,Alkanes,Heavy oil,40,563.056,421428793323.7904,40,10510837,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,680.0189532748766,4.563056,WallProximity.SAFE,True,0.0,0.0,0.0079202574335114,0.2832521017394445,True,,Low (RON ~0-50),Excellent (>1 year)
55,2-Methyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,9,1872520,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
56,3-Methyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,9,1872520,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
57,"2,2-Dimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,12,1872584,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
58,"2,3-Dimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,13,1872584,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
59,"2,4-Dimethyl-C7",Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,14,1872584,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
61,2-Ethyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,13,1872584,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
62,3-Ethyl-C7,Branched alkanes,Alkanes,Gasoline,7,100.198,999011467728.4476,13,1872584,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,21.221209970508696,0.8001980000000001,WallProximity.CRITICAL,True,0.6284659179406685,0.0,0.6993073420184516,0.1326770142455715,True,,Medium (RON ~50-70),Excellent (>1 year)
63,2-Methyl-C8,Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.2999966155396235,0.0,0.7447570440936945,0.1441523610703951,True,,Medium (RON ~50-70),Excellent (>1 year)
64,3-Methyl-C8,Branched alkanes,Alkanes,Gasoline,8,114.224,935667010900.7026,10,2134665,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,27.639081767641613,0.914224,WallProximity.WARNING,True,0.2999966155396235,0.0,0.7447570440936945,0.1441523610703951,True,,Medium (RON ~50-70),Excellent (>1 year)
79,2-Methyl-C10,Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,12,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.1633616326823045,True,,Medium (RON ~50-70),Excellent (>1 year)
80,3-Methyl-C10,Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,12,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.1633616326823045,True,,Medium (RON ~50-70),Excellent (>1 year)
81,"2,2-Dimethyl-C10",Branched alkanes,Alkanes,Gasoline,10,142.276,838367002781.6842,15,2659017,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,43.01464339599258,1.142276,WallProximity.CAUTION,True,0.0,0.0,0.8017320509825592,0.1633616326823045,True,,Medium (RON ~50-70),Excellent (>1 year)
87,2-Methyl-C11,Branched alkanes,Alkanes,Gasoline,11,156.302,799866913217.5398,13,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0010341286632576,CoherenceRegime.SUBCOHERENT,51.97233322721061,1.256302,WallProximity.SAFE,True,0.0,0.0012115615859026,0.8128183517932119,0.1715772214320583,True,,Medium (RON ~50-70),Excellent (>1 year)
88,3-Methyl-C11,Branched alkanes,Alkanes,Gasoline,11,156.302,799866913217.5398,13,2921161,3,0.875,0.975,1.0,0.0999999999999999,0.0010341286632576,CoherenceRegime.SUBCOHERENT,51.97233322721061,1.256302,WallProximity.SAFE,True,0.0,0.0012115615859026,0.8128183517932119,0.1715772214320583,True,,Medium (RON ~50-70),Excellent (>1 year)
95,2-Methyl-C12,Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
96,3-Methyl-C12,Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
97,"2,2-Dimethyl-C12",Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,17,3179273,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
98,"2,3-Dimethyl-C12",Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,18,3179273,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
99,"2,4-Dimethyl-C12",Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,19,3179273,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
100,"2,2,3-Trimethyl-C12",Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,21,3179337,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
101,2-Ethyl-C12,Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,18,3179273,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
102,3-Ethyl-C12,Branched alkanes,Alkanes,Gasoline,12,170.328,766226162165.0073,18,3179273,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,61.77662906979037,1.3703280000000002,WallProximity.SAFE,True,0.0,0.0,0.8125262685665692,0.1790824206711787,True,,Medium (RON ~50-70),Excellent (>1 year)
103,2-Methyl-C13,Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
104,3-Methyl-C13,Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
105,"2,2-Dimethyl-C13",Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,18,3441425,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
106,"2,3-Dimethyl-C13",Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,19,3441425,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
107,"2,4-Dimethyl-C13",Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,20,3441489,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
108,"2,2,3-Trimethyl-C13",Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,22,3441489,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
109,2-Ethyl-C13,Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,19,3441425,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
110,3-Ethyl-C13,Branched alkanes,Alkanes,Diesel,13,184.354,736501638657.2075,19,3441425,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,72.42753092373184,1.4843540000000002,WallProximity.SAFE,True,0.0,0.0,0.8014205114468184,0.1859903680223826,True,,Medium (RON ~50-70),Excellent (>1 year)
111,2-Methyl-C14,Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
112,3-Methyl-C14,Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
113,"2,2-Dimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,19,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
114,"2,3-Dimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
115,"2,4-Dimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,21,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
116,"2,2,3-Trimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,23,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,,Medium (RON ~50-70),Excellent (>1 year)
