id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error,predicted_octane_class,predicted_stability_class
276,2-Methyl-cyclo-C10,Cycloalkanes,Cycloalkanes,Gasoline,12,168.312,770801337712.6996,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,60.955632818042965,1.3683120000000002,WallProximity.SAFE,True,0.0,0.0,0.8231092971646984,0.1785013844306502,True,,High (RON ~90-120),Excellent (>1 year)
277,3-Methyl-cyclo-C10,Cycloalkanes,Cycloalkanes,Gasoline,13,182.338,740561970950.5564,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,,High (RON ~90-120),Excellent (>1 year)
278,4-Methyl-cyclo-C10,Cycloalkanes,Cycloalkanes,Gasoline,14,196.364,713623371385.9878,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,,High (RON ~90-120),Excellent (>1 year)
280,1-Methyl-cyclo-C11,Cycloalkanes,Cycloalkanes,Gasoline,12,168.312,770801337712.6996,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,60.955632818042965,1.3683120000000002,WallProximity.SAFE,True,0.0,0.0,0.8231092971646984,0.1785013844306502,True,,High (RON ~90-120),Excellent (>1 year)
281,2-Methyl-cyclo-C11,Cycloalkanes,Cycloalkanes,Gasoline,13,182.338,740561970950.5564,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,,High (RON ~90-120),Excellent (>1 year)
282,3-Methyl-cyclo-C11,Cycloalkanes,Cycloalkanes,Gasoline,14,196.364,713623371385.9878,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,,High (RON ~90-120),Excellent (>1 year)
285,1-Methyl-cyclo-C12,Cycloalkanes,Cycloalkanes,Gasoline,13,182.338,740561970950.5564,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,,High (RON ~90-120),Excellent (>1 year)
286,2-Methyl-cyclo-C12,Cycloalkanes,Cycloalkanes,Gasoline,14,196.364,713623371385.9878,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,,High (RON ~90-120),Excellent (>1 year)
289,1-Methyl-cyclo-C13,Cycloalkanes,Cycloalkanes,Gasoline,14,196.364,713623371385.9878,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,,High (RON ~90-120),Excellent (>1 year)
312,1-C10ene,Linear alkenes,Alkenes,Gasoline,10,140.26,844370560040.8063,11,2658953,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0020964232055424,CoherenceRegime.SUBCOHERENT,42.33030056808538,1.14026,WallProximity.CAUTION,True,0.0,0.0024374381697527,0.8108391997578444,0.1626651352211253,True,,Medium-High (RON ~70-90),Excellent (>1 year)
