trial,frequency_name,frequency,even_pct,error
0,phi,1.618033988749895,42.66,12.340000000000003
1,e_over_12,0.22652348570492042,49.44,5.560000000000002
2,pi_phi,6.373902142303395,30.5,24.5
3,sqrt2,1.4142135623730951,48.22,6.780000000000001
4,sqrt3,1.7320508075688772,59.019999999999996,4.019999999999996
5,sqrt5,2.23606797749979,42.72,12.280000000000001
6,phi*e_over_12,0.3665226991206622,49.04,5.960000000000001
7,phi/e_over_12,7.142897274932534,59.589999999999996,4.589999999999996
8,pi_phi/phi,3.939288164909267,63.61,8.61
9,sqrt2*sqrt3,2.4494897427831783,59.99,4.990000000000002
10,sqrt5/sqrt2,1.5811388300841895,41.99,13.009999999999998
11,perturbed_0,2.1542491296343833,36.9,18.1
12,perturbed_1,1.3445874705509377,52.75,2.25
13,perturbed_2,2.1877538589983985,33.269999999999996,21.730000000000004
14,perturbed_3,0.23442378287984694,49.220000000000006,5.779999999999994
15,perturbed_4,0.21669720268256873,50.43,4.57
16,perturbed_5,1.5690699039334486,46.35,8.649999999999999
17,perturbed_6,1.784390067587674,48.13,6.869999999999997
18,perturbed_7,6.223146300361389,53.900000000000006,1.0999999999999943
19,perturbed_8,1.7210581035141295,62.25000000000001,7.250000000000007
20,perturbed_9,1.7179708804167946,61.550000000000004,6.550000000000004
21,perturbed_10,1.7313682764033893,60.150000000000006,5.150000000000006
22,perturbed_11,2.152553623005684,37.54,17.46
23,perturbed_12,0.2156982800216356,50.05,4.950000000000003
24,perturbed_13,0.2373238959260893,49.55,5.450000000000003
25,perturbed_14,1.4742500690107874,55.69,0.6899999999999977
26,perturbed_15,6.66314401394898,38.62,16.380000000000003
27,perturbed_16,0.21594652790382804,50.760000000000005,4.239999999999995
28,perturbed_17,2.1708973950786223,33.83,21.17
29,perturbed_18,1.636019794786477,49.64,5.359999999999999
30,perturbed_19,1.7598641693659671,49.46,5.539999999999999
31,perturbed_20,6.574767965266285,23.61,31.39
32,perturbed_21,1.5900641258840136,39.4,15.600000000000001
33,perturbed_22,1.6048290399744172,38.59,16.409999999999997
34,perturbed_23,1.6457463371914791,50.81,4.189999999999998
35,perturbed_24,0.21850765794855792,50.36000000000001,4.6399999999999935
36,perturbed_25,2.1392744354152176,41.27,13.729999999999997
37,perturbed_26,1.592194926301598,39.290000000000006,15.709999999999994
38,perturbed_27,2.166347959760245,33.56,21.439999999999998
39,perturbed_28,2.337288877266298,54.559999999999995,0.44000000000000483
40,perturbed_29,2.209440347385088,36.34,18.659999999999997
41,perturbed_30,1.7200435726175842,62.339999999999996,7.339999999999996
42,perturbed_31,6.561421722187397,20.419999999999998,34.58
43,perturbed_32,0.22517849934634654,49.71,5.289999999999999
44,perturbed_33,1.4597995830246746,51.33,3.6700000000000017
45,perturbed_34,1.80438237600273,45.519999999999996,9.480000000000004
46,perturbed_35,6.251696347736087,49.120000000000005,5.8799999999999955
47,perturbed_36,0.22553688235454442,49.5,5.5
48,perturbed_37,2.141386935252434,41.07,13.93
49,perturbed_38,6.690801342636535,43.89,11.11
50,perturbed_39,6.597326130842995,29.74,25.26
51,perturbed_40,6.413339914558947,25.53,29.47
52,perturbed_41,2.158657363048484,35.46,19.54
53,perturbed_42,6.424523361724549,26.86,28.14
54,perturbed_43,6.490217828317817,27.860000000000003,27.139999999999997
55,perturbed_44,6.587238143527443,26.33,28.67
56,perturbed_45,1.4544663073500617,49.309999999999995,5.690000000000005
57,perturbed_46,2.1980687348388486,34.25,20.75
58,perturbed_47,2.165604870536534,34.29,20.71
59,perturbed_48,1.5603718936534248,48.9,6.100000000000001
60,perturbed_49,1.7239422943292897,61.82,6.82
61,perturbed_50,1.401859896653747,47.65,7.350000000000001
62,perturbed_51,2.2335041210104247,41.959999999999994,13.040000000000006
63,perturbed_52,1.6913594960991565,57.86,2.8599999999999994
64,perturbed_53,6.297239889454632,44.66,10.340000000000003
65,perturbed_54,1.6671568414097282,51.12,3.8800000000000026
66,perturbed_55,6.454561497236406,26.700000000000003,28.299999999999997
67,perturbed_56,6.659918506453733,37.25,17.75
68,perturbed_57,6.343236762230128,37.54,17.46
69,perturbed_58,1.3656900167142325,50.12,4.880000000000003
70,perturbed_59,0.21876542691855977,51.33,3.6700000000000017
71,perturbed_60,1.4508693919744602,48.47,6.530000000000001
72,perturbed_61,2.335505645462305,55.510000000000005,0.5100000000000051
73,perturbed_62,1.3973161311532405,47.28,7.719999999999999
74,perturbed_63,1.6375581588260635,49.17,5.829999999999998
75,perturbed_64,1.597920171012481,36.85,18.15
76,perturbed_65,1.4129800775234629,47.71,7.289999999999999
77,perturbed_66,0.23714676119924033,49.88,5.119999999999997
78,perturbed_67,1.7271508320905657,60.78,5.780000000000001
79,perturbed_68,1.6386064388618966,48.9,6.100000000000001
80,perturbed_69,1.5888826484548042,40.83,14.170000000000002
81,perturbed_70,0.23513915279309117,49.45,5.549999999999997
82,perturbed_71,1.722724515853174,61.23,6.229999999999997
83,perturbed_72,1.739818164249525,56.39999999999999,1.3999999999999915
84,perturbed_73,1.7687865779306995,49.0,6.0
85,perturbed_74,1.6351905892688883,49.04,5.960000000000001
86,perturbed_75,1.7802616045040647,48.75,6.25
87,perturbed_76,2.1318716980732657,43.29,11.71
