chembl_id,name,therapeutic_area,ubp_energy,ubp_nrci,ubp_crv,ubp_resonance,drug_likeness_score,molecular_weight,logp,complexity,heavy_atoms,aromatic_rings,ubp_therapeutic_potential,ubp_complexity_index,smiles,inchi_key
CHEMBL1077098,Unknown,Pain/Inflammation,175975434.5052677,0.9999950971500048,15.501007515471064,0.1,0.8,348.91400000000016,5.4561000000000055,631.7500026266664,24,0,0.08000000000000002,1.5501007515471064,CC1CCC[C@H]2[C@](C)(CC3=CC(=O)C(Cl)=CC3=O)[C@@H](C)CC[C@]12C,YFAHQVBMZWNQOJ-MXFAOPPESA-N
CHEMBL1076911,Unknown,Pain/Inflammation,169482002.96079218,0.9999955748074577,14.589395873008623,0.2557777751666665,1.0,322.4890000000001,3.2795000000000023,497.1152542590712,23,0,0.2557777751666665,1.4589395873008624,CC1(C)[C@H](O)CC[C@@]2(C)[C@@H]3CC[C@](C)([C@@H](O)CO)C=C3CC[C@H]12,NCAZLDCEJHFJDT-KHKZNYETSA-N
CHEMBL163579,Unknown,CNS/Neurology,331779237.0870309,0.999996596902721,30.118660454281013,0.1,0.8,592.7660000000003,4.456000000000003,1535.0540439296967,42,4,0.08000000000000002,3.011866045428101,CCCCCCCCn1cnn(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)c1=O,ZWLKZIOYRNEGOR-PMERELPUSA-N
CHEMBL1161924,Unknown,Anti-infective,179759565.7182119,0.9999962845217648,16.196256127607946,0.1420951,1.0,351.4030000000001,0.3999000000000006,591.4009804172716,25,1,0.1420951,1.6196256127607946,CC(=O)N[C@@H](CCCCNCc1cccc(OCC(=O)O)c1)C(N)=O,NETOXVSFTPVMAD-HNNXBMFYSA-N
CHEMBL1161220,Unknown,Anti-infective,182265316.04044646,0.9999969260969416,16.019381386831054,0.23345459999999996,1.0,328.19699999999995,0.8833999999999997,647.8316341869511,21,2,0.23345459999999996,1.6019381386831053,O=P(O)(O)c1ccc(Cc2ccc(P(=O)(O)O)cc2)cc1,QYMVOFZDTFZKID-UHFFFAOYSA-N
CHEMBL1160771,Unknown,Pain/Inflammation,247616163.30522722,0.9999972112336046,20.182508937622817,0.2933558177759999,1.0,388.3790000000001,2.864880000000001,1293.759108547175,29,3,0.2933558177759999,2.0182508937622816,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3cc(C#N)c4oc5ccccc5c4c3)C[C@H]12,YLVNMCCCLPZFNF-QOJFYFMMSA-N
CHEMBL260970,Unknown,CNS/Neurology,327149229.6033174,0.9999966855032902,28.862684864945145,0.3572948141279996,0.8,534.0350000000003,4.396800000000003,1485.8315054281577,38,4,0.2858358513023997,2.8862684864945143,O=C(CCCN1CCN(c2cccc(Cl)c2)CC1)NCc1nc2ccc(F)cc2c(=O)n1-c1ccccc1,DQSLXRAKKGKMEU-UHFFFAOYSA-N
CHEMBL1099299,Unknown,Pain/Inflammation,181796136.14856428,0.9999967704134111,14.47797878115909,0.5160213437999999,1.0,293.41700000000003,3.299500000000001,561.3407839290741,19,2,0.5160213437999999,1.4477978781159089,CCCCC(=O)NC(=S)Nc1nc2ccccc2s1,MXHOSESYUIGTMK-UHFFFAOYSA-N
CHEMBL1084425,Unknown,Pain/Inflammation,206984600.7224797,0.9999970473548314,15.992511087260798,0.5953777741799999,1.0,323.444,2.3251,715.1971285671987,24,2,0.5953777741799999,1.59925110872608,CN[C@@H]1CCN(c2nc(N)nc3c2CCCC3c2ccccc2)C1,AWTCYYOBPHDYEC-GICMACPYSA-N
CHEMBL1088145,Unknown,Pain/Inflammation,223337629.47627395,0.9999973665177724,17.311671593098882,0.5226104188799999,1.0,354.3660000000001,2.0144,892.5098735336477,26,2,0.5226104188799999,1.7311671593098883,COc1cccc(N/N=C2\C(=O)NN=C2c2ccc(OC)c(OC)c2)c1,SHLUZSIEQVFXNS-UHFFFAOYSA-N
CHEMBL1091561,Unknown,Pain/Inflammation,159874599.25778106,0.9999959231259644,13.39945612805503,0.52095789312,1.0,251.32599999999996,2.1626000000000003,390.6255357814508,18,1,0.52095789312,1.339945612805503,CCOc1ccc(OC)cc1CCCNC(C)=O,GTXCCVOUHCBPES-UHFFFAOYSA-N
CHEMBL1096781,Unknown,Pain/Inflammation,183285605.2100407,0.999995743709402,15.506833761473706,0.19939124906666653,1.0,362.5100000000001,4.031200000000003,590.9496677483216,26,0,0.19939124906666653,1.5506833761473706,C=C1CC[C@H](C(C)C)[C@@H]2[C@H]1[C@H]1CC(=C)[C@@H](OC(C)=O)CC[C@@](C)(O)[C@@H]2O1,CDRWIAOABOJFQY-CZIVXSDSSA-N
CHEMBL606709,Unknown,Other,255093966.39284614,0.9999964257497097,20.815424683822265,0.2694882410733333,1.0,452.5070000000003,1.2102999999999993,1130.1390501988365,33,1,0.2694882410733333,2.0815424683822266,COC(=O)/C=C/C(=O)N[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4C12CCN(C)[C@@H]3C5,WJWYCYGMXCHSSR-YFBNHLGJSA-N
CHEMBL406648,Unknown,CNS/Neurology,282923105.02412045,0.9999972634143498,25.465204484487014,0.3388635104999995,1.0,449.93100000000027,4.951100000000004,1264.769805703463,30,3,0.3388635104999995,2.5465204484487014,CC(c1ccc(Cl)cc1)c1c2n(c3cc(F)cc(S(C)(=O)=O)c13)CCC2CC(=O)O,UVIUTKCWXFOQKN-UHFFFAOYSA-N
CHEMBL611115,Unknown,Other,194179675.23951268,0.9999971245135325,17.237894209973202,0.18508559999999993,1.0,349.3910000000001,0.1823999999999988,758.0630735957122,25,2,0.18508559999999993,1.7237894209973201,C[C@@]1(O)[C@@H](CO)OC(n2cnc3c(NC4CCCC4)ncnc32)[C@@H]1O,BSUJYKOQGOFUAN-HVDRINOTSA-N
CHEMBL4116115,Unknown,CNS/Neurology,250992452.50795463,0.9999974911531999,25.437451453885636,0.1,0.8,360.38700000000006,5.320600000000003,1338.2482222947033,27,5,0.08000000000000002,2.5437451453885638,C[n+]1c2ccccc2c(Nc2ccc(F)cc2F)c2[nH]c3ccccc3c21,AEDRLFWZWQYSSC-UHFFFAOYSA-O
CHEMBL608409,Unknown,Pain/Inflammation,176419441.01914993,0.9999968575288922,15.123433294584474,0.34139642399999953,1.0,296.37,4.588800000000004,609.7382734399439,22,2,0.34139642399999953,1.5123433294584474,COc1ccc(/N=C(C)\C(C)=N\c2ccc(OC)cc2)cc1,LMEYMDPIGMZWSV-LRVMPXQBSA-N
CHEMBL1094634,Unknown,Other,227833412.10721442,0.999996234443124,18.61326683665527,0.24339657599999956,1.0,434.64200000000017,4.508400000000005,863.5795133315803,30,0,0.24339657599999956,1.8613266836655271,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)CCCS(C)(=O)=O)=CC[C@@H]23)C[C@@H](O)C[C@@H]1O,WZXBCMVUGHHMMF-JSCZLARVSA-N
CHEMBL1088591,Unknown,CNS/Neurology,275793250.59318817,0.999996999206976,26.814796204938027,0.1793370599999998,1.0,408.41700000000014,4.653380000000003,1411.5516800175603,31,3,0.1793370599999998,2.6814796204938025,CC1=C(C#N)c2nc(N)c(C#N)c(C)c2/C1=C/c1ccc(-c2ccccc2C(=O)O)o1,YAMTZUZWURNHAX-RQZCQDPDSA-N
CHEMBL612143,Unknown,Other,204115160.52721554,0.9999978974024978,18.203463549444308,0.18896543265599994,1.0,342.3550000000001,0.4132199999999991,912.5541679110896,25,3,0.18896543265599994,1.8203463549444308,Cc1ccccc1-c1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,QBLGNGUSNFIKPR-DMUYAFOSSA-N
CHEMBL1078513,Unknown,CNS/Neurology,242350132.02454078,0.9999969135455987,23.494205445770877,0.2032128,0.8,386.9260000000001,6.942880000000006,1059.1413340847494,28,3,0.16257024,2.3494205445770877,CC(C)c1ccc(-c2cc(-c3ccc4c(c3)CCCC4)nc(Cl)c2C#N)cc1,SZEYNHBVJGPALN-UHFFFAOYSA-N
CHEMBL1213309,Unknown,Pain/Inflammation,156639424.7128341,0.9999968104662106,14.60375569722366,0.24968358863999987,1.0,249.357,3.4884000000000013,583.5923391815412,19,2,0.24968358863999987,1.460375569722366,CC1C2c3ccccc3C(c3ccccc32)C1CN,JSVCWJJGZXDXLC-UHFFFAOYSA-N
CHEMBL1075761,Unknown,CNS/Neurology,341263516.10834944,0.9999965718833592,30.875897097408448,0.13318598999999992,0.8,609.6790000000001,3.769300000000002,1548.953689357293,45,4,0.10654879199999995,3.0875897097408447,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)OCc1ccccc1,ZPMHCFVOZAPTDP-CHQNGUEUSA-N
CHEMBL1092426,Unknown,Other,355180639.7350895,0.9999944227260412,26.926267826024066,0.1023035999999999,0.8,744.0119999999997,3.910400000000004,1542.9299771084295,52,0,0.08184287999999992,2.6926267826024066,CC1([C@H](NC(=O)NC2([C@H]3CCCS3(=O)=O)CCCCC2)C(=O)N2C[C@@H]3[C@H]([C@H]2C(=O)N[C@@H](CCC2CC2)C(=O)C(=O)NC2CC2)C3(C)C)CCCCC1,NFVARQXRHCXXTB-IPUCTRETSA-N
CHEMBL1092443,Unknown,CNS/Neurology,319710506.71806604,0.99999711,29.512421536263222,0.19345759999999992,1.0,489.4870000000002,3.895200000000001,1698.298438128223,33,4,0.19345759999999992,2.951242153626322,Nc1ccc2c(O)c(/N=N/c3ccc4c(O)cc(S(=O)(=O)O)cc4c3)c(S(=O)(=O)O)cc2c1,ZSHNSNDVNDUHIM-GHVJWSGMSA-N
