ubp_id,z,symbol,name,period,group,hex_color,r,g,b,nrci,tax,hamming_weight,saturation
ELEM_I_053,53,I,Iodine,5,17,#e13aa6,225,58,166,0.68138,4.676105164854324,12,119.76922253511819
ELEM_Xe_054,54,Xe,Xenon,5,18,#84246a,132,36,106,0.762346,3.1174034432362157,8,70.21870595978444
ELEM_Cs_055,55,Cs,Cesium,6,1,#c3f88a,195,248,138,0.68138,4.676105164854324,12,77.79888602458692
ELEM_Ba_056,56,Ba,Barium,6,2,#27b8a3,39,184,163,0.68138,4.676105164854324,12,110.81816938871833
ELEM_La_057,57,La,Lanthanum,6,3,#8874fc,136,116,252,0.68138,4.676105164854324,12,103.84603988597736
ELEM_Ce_058,58,Ce,Cerium,6,3,#a18be3,161,139,227,0.68138,4.676105164854324,12,64.76624635307088
ELEM_Pr_059,59,Pr,Praseodymium,6,3,#c1c218,193,194,24,0.762346,3.1174034432362157,8,138.3979768638256
ELEM_Nd_060,60,Nd,Neodymium,6,3,#aa8019,170,128,25,0.762346,3.1174034432362157,8,105.51145277488442
ELEM_Pm_061,61,Pm,Promethium,6,3,#9f09a3,159,9,163,0.68138,4.676105164854324,12,124.13970624528909
ELEM_Sm_062,62,Sm,Samarium,6,3,#b6a711,182,167,17,0.68138,4.676105164854324,12,129.0348790056394
ELEM_Eu_063,63,Eu,Europium,6,3,#d5f177,213,241,119,0.615961,6.234806886472431,16,90.37698822156003
ELEM_Gd_064,64,Gd,Gadolinium,6,3,#45cbca,69,203,202,0.68138,4.676105164854324,12,109.00458705944443
ELEM_Tb_065,65,Tb,Terbium,6,3,#8e11ee,142,17,238,0.68138,4.676105164854324,12,156.71843116451447
ELEM_Dy_066,66,Dy,Dysprosium,6,3,#e57e57,229,126,87,0.615961,6.234806886472431,16,103.75291160573117
ELEM_Ho_067,67,Ho,Holmium,6,3,#89ee54,137,238,84,0.68138,4.676105164854324,12,110.64357188738983
ELEM_Er_068,68,Er,Erbium,6,3,#94a68f,148,166,143,0.68138,4.676105164854324,12,17.107503227141788
ELEM_Tm_069,69,Tm,Thulium,6,3,#eaa343,234,163,67,0.68138,4.676105164854324,12,118.52707145064652
ELEM_Yb_070,70,Yb,Ytterbium,6,3,#875c93,135,92,147,0.68138,4.676105164854324,12,40.89824772122476
ELEM_Lu_071,71,Lu,Lutetium,6,3,#c514f6,197,20,246,0.68138,4.676105164854324,12,168.1328839539329
ELEM_Hf_072,72,Hf,Hafnium,6,4,#affa96,175,250,150,0.615961,6.234806886472431,16,73.59800721939872
ELEM_Ta_073,73,Ta,Tantalum,6,5,#038d82,3,141,130,0.762346,3.1174034432362157,8,108.46504813379592
ELEM_W_074,74,W,Tungsten,6,6,#f4a5a8,244,165,168,0.68138,4.676105164854324,12,63.314032146647136
ELEM_Re_075,75,Re,Rhenium,6,7,#57e1a2,87,225,162,0.68138,4.676105164854324,12,97.70363350459388
ELEM_Os_076,76,Os,Osmium,6,8,#7748b1,119,72,177,0.68138,4.676105164854324,12,74.38189743927393
ELEM_Ir_077,77,Ir,Iridium,6,9,#dad918,218,217,24,0.68138,4.676105164854324,12,157.99367075930604
ELEM_Pt_078,78,Pt,Platinum,6,10,#4a6acb,74,106,203,0.68138,4.676105164854324,12,94.99824559783548
ELEM_Au_079,79,Au,Gold,6,11,#97f3ce,151,243,206,0.615961,6.234806886472431,16,65.46754921333164
ELEM_Hg_080,80,Hg,Mercury,6,12,#4290a6,66,144,166,0.762346,3.1174034432362157,8,74.31464638055319
ELEM_Tl_081,81,Tl,Thallium,6,13,#5b385a,91,56,90,0.68138,4.676105164854324,12,28.178005607210743
ELEM_Pb_082,82,Pb,Lead,6,14,#4c9dc6,76,157,198,0.68138,4.676105164854324,12,87.79901290257577
ELEM_Bi_083,83,Bi,Bismuth,6,15,#766dbe,118,109,190,0.615961,6.234806886472431,16,62.78534860936905
ELEM_Po_084,84,Po,Polonium,6,16,#a257cc,162,87,204,0.68138,4.676105164854324,12,83.8212383587835
ELEM_At_085,85,At,Astatine,6,17,#e05575,224,85,117,0.68138,4.676105164854324,12,102.9465880930495
ELEM_Rn_086,86,Rn,Radon,6,18,#b468f8,180,104,248,0.68138,4.676105164854324,12,101.87574130609636
ELEM_Fr_087,87,Fr,Francium,7,1,#a53a69,165,58,105,0.68138,4.676105164854324,12,75.8463358816144
ELEM_Ra_088,88,Ra,Radium,7,2,#5f2d06,95,45,6,0.68138,4.676105164854324,12,63.09252464964979
ELEM_Ac_089,89,Ac,Actinium,7,3,#bfbbc1,191,187,193,0.615961,6.234806886472431,16,4.320493798938574
ELEM_Th_090,90,Th,Thorium,7,3,#5d4639,93,70,57,0.68138,4.676105164854324,12,25.78113005022601
ELEM_Pa_091,91,Pa,Protactinium,7,3,#ecf098,236,240,152,0.68138,4.676105164854324,12,70.27564774989034
ELEM_U_092,92,U,Uranium,7,3,#dcbc0a,220,188,10,0.68138,4.676105164854324,12,160.00833311633073
ELEM_Np_093,93,Np,Neptunium,7,3,#a56bc4,165,107,196,0.68138,4.676105164854324,12,63.89053137985315
ELEM_Pu_094,94,Pu,Plutonium,7,3,#8f9037,143,144,55,0.68138,4.676105164854324,12,72.26340706055866
ELEM_Am_095,95,Am,Americium,7,3,#6dae7d,109,174,125,0.615961,6.234806886472431,16,47.89572005931219
ELEM_Cm_096,96,Cm,Curium,7,3,#7bed5c,123,237,92,0.615961,6.234806886472431,16,107.98456679853223
ELEM_Bk_097,97,Bk,Berkelium,7,3,#59ecc2,89,236,194,0.68138,4.676105164854324,12,107.07940978544848
ELEM_Cf_098,98,Cf,Californium,7,3,#46a842,70,168,66,0.762346,3.1174034432362157,8,81.69863319950137
ELEM_Es_099,99,Es,Einsteinium,7,3,#020c5b,2,12,91,0.762346,3.1174034432362157,8,68.9492567037528
ELEM_Fm_100,100,Fm,Fermium,7,3,#bc9295,188,146,149,0.68138,4.676105164854324,12,33.13608305156178
ELEM_Md_101,101,Md,Mendelevium,7,3,#5b87fd,91,135,253,0.615961,6.234806886472431,16,118.46799849185714
ELEM_No_102,102,No,Nobelium,7,3,#9c4793,156,71,147,0.68138,4.676105164854324,12,66.03534407169138
ELEM_Lr_103,103,Lr,Lawrencium,7,3,#ace50b,172,229,11,0.68138,4.676105164854324,12,159.88954520751713
ELEM_Rf_104,104,Rf,Rutherfordium,7,4,#f36cdb,243,108,219,0.615961,6.234806886472431,16,101.85283501208987
ELEM_Db_105,105,Db,Dubnium,7,5,#e744c5,231,68,197,0.68138,4.676105164854324,12,121.60866197219121
ELEM_Sg_106,106,Sg,Seaborgium,7,6,#33c110,51,193,16,0.762346,3.1174034432362157,8,132.56193521017514
ELEM_Bh_107,107,Bh,Bohrium,7,7,#0aed47,10,237,71,0.68138,4.676105164854324,12,166.13849644197458
ELEM_Hs_108,108,Hs,Hassium,7,8,#238047,35,128,71,0.762346,3.1174034432362157,8,66.31741852635702
ELEM_Mt_109,109,Mt,Meitnerium,7,9,#74a257,116,162,87,0.68138,4.676105164854324,12,53.485200445232195
ELEM_Ds_110,110,Ds,Darmstadtium,7,10,#3bf8cf,59,248,207,0.615961,6.234806886472431,16,140.601090560019
ELEM_Rg_111,111,Rg,Roentgenium,7,11,#8a04b2,138,4,178,0.762346,3.1174034432362157,8,128.88237531434103
ELEM_Cn_112,112,Cn,Copernicium,7,12,#9835ab,152,53,171,0.68138,4.676105164854324,12,89.60282733634395
ELEM_Nh_113,113,Nh,Nihonium,7,13,#b54df7,181,77,247,0.615961,6.234806886472431,16,121.20506040040847
ELEM_Fl_114,114,Fl,Flerovium,7,14,#0dad5a,13,173,90,0.68138,4.676105164854324,12,113.16359838746733
ELEM_Mc_115,115,Mc,Moscovium,7,15,#6c34d5,108,52,213,0.68138,4.676105164854324,12,115.58835004734112
ELEM_Lv_116,116,Lv,Livermorium,7,16,#c48e5e,196,142,94,0.68138,4.676105164854324,12,72.16647421067486
ELEM_Ts_117,117,Ts,Tennessine,7,17,#a89733,168,151,51,0.68138,4.676105164854324,12,89.40171512150461
ELEM_Og_118,118,Og,Oganesson,7,18,#b088df,176,136,223,0.68138,4.676105164854324,12,61.584630117153964
