strategy,property,offbits_r,onbits_r,improvement,offbits_better
strategy_1_functional_groups,persistent,0.45866173787948483,0.5551263944320233,-0.09646465655253844,False
strategy_1_functional_groups,biodegradable,-0.5107904315299896,-0.6891631866429596,-0.17837275511297002,False
strategy_1_functional_groups,toxic,0.48635102227967725,0.6613258749979747,-0.17497485271829744,False
strategy_2_lack_protection,persistent,0.4139565610408493,0.21236356856374822,0.2015929924771011,True
strategy_2_lack_protection,biodegradable,-0.44651057004600064,-0.17772938979049607,0.26878118025550457,True
strategy_2_lack_protection,toxic,0.395991762188697,0.16388553003631684,0.2321062321523802,True
strategy_3_balanced,persistent,0.3885709102645175,0.10802116112337132,0.28054974914114617,True
strategy_3_balanced,biodegradable,-0.4208232698428848,-0.19458292594493085,0.22624034389795397,True
strategy_3_balanced,toxic,0.5287221827373232,0.20193373512572324,0.3267884476116,True
strategy_4_persistence,persistent,0.5537326516665225,-0.31986843234819257,0.23386421931832996,True
strategy_4_persistence,biodegradable,-0.5988655137666178,0.3194097574495909,0.2794557563170269,True
strategy_4_persistence,toxic,0.4623899277583259,-0.007941119550006408,0.45444880820831945,True
