weight,count,mean,std,min,25%,50%,75%,max
8,759.0,60.01611712779974,24.50515831303502,4.3066,39.1069,58.2875,77.6853,112.0705
12,2576.0,78.81987577639751,46.01967622409365,0.0,43.4556,67.0331,115.6934,145.4624
