weight,tax,tax_frac,nrci,nrci_frac,tilt_deg,fold3,fold3_weight,vec_int,codeword_index
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,86.6654,011,2,14159232,27
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,3672408,28
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,12062375,29
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,7866298,30
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,42.5198,101,2,16252997,31
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,54.4316,110,2,265773,32
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,29.8755,000,0,8653266,33
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,12.5198,000,0,4456655,34
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,72.5198,110,2,12846896,35
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,29.8755,000,0,2360296,36
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.1969,110,2,10748951,37
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,72.5198,110,2,6556938,38
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,000,0,14945013,39
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,29.8755,000,0,1312166,40
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.1969,110,2,9699929,41
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,72.5198,110,2,5507908,42
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,000,0,13896891,43
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.1969,110,2,3410019,44
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,0.0,000,0,11800476,45
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,61.5162,000,0,7603841,46
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,38.134,110,2,15991166,47
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,14.8,011,2,786747,48
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,9176772,49
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,67.0331,101,2,4984793,50
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,13371430,51
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,39.6298,101,2,2886910,52
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,86.6654,011,2,11275009,53
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,7078428,54
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,43.4556,101,2,15468003,55
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,39.1069,101,2,1837744,56
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,10227023,57
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,37.3489,011,2,6030418,58
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,43.4556,101,2,14418861,59
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,34.5376,011,2,3934069,60
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,42.5198,101,2,12320906,61
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,43.4556,101,2,8128919,62
12,4.676105164854324,125770049993645688642280060735776022759730663314546448544691/26896326228703168271392291261228247880645440593522444505042,0.6813796908424689,268963262287031682713922912612282478806454405935224445050420/394733312280677371356202973348058501566185069249770893595111,88.5657,011,2,16518760,63
8,3.1174034432362157,125770049993645688642280060735776022759730663314546448544691/40344489343054752407088436891842371820968160890283666757563,0.7623459965437248,403444893430547524070884368918423718209681608902836667575630/529214943424193212713164429654199740969412272217383116120321,36.5868,101,2,134235,64
