ubp_id,z,symbol,degree,nrci,tax,saturation
ELEM_H_001,1,H,11,0.762346,3.1174034432362157,45.46060565661952
ELEM_He_002,2,He,26,0.68138,4.676105164854324,161.56113394006616
ELEM_Li_003,3,Li,20,0.68138,4.676105164854324,16.57307052620807
ELEM_Be_004,4,Be,24,0.68138,4.676105164854324,75.7495874576225
ELEM_B_005,5,B,22,0.615961,6.234806886472431,135.64905700618294
ELEM_C_006,6,C,19,0.615961,6.234806886472431,47.33568069296846
ELEM_N_007,7,N,19,0.68138,4.676105164854324,135.77186748365804
ELEM_O_008,8,O,13,0.68138,4.676105164854324,79.9041091976293
ELEM_F_009,9,F,18,0.68138,4.676105164854324,70.27090436304346
ELEM_Ne_010,10,Ne,19,0.615961,6.234806886472431,117.06693242186996
ELEM_Na_011,11,Na,19,0.68138,4.676105164854324,39.293765408777
ELEM_Mg_012,12,Mg,20,0.615961,6.234806886472431,102.04247481645409
ELEM_Al_013,13,Al,19,0.762346,3.1174034432362157,48.33218389437829
ELEM_Si_014,14,Si,19,0.68138,4.676105164854324,89.02808545621994
ELEM_P_015,15,P,20,0.68138,4.676105164854324,147.13485877475352
ELEM_S_016,16,S,18,0.68138,4.676105164854324,90.99816847973737
ELEM_Cl_017,17,Cl,20,0.68138,4.676105164854324,78.05553578489271
ELEM_Ar_018,18,Ar,20,0.68138,4.676105164854324,94.43516294262429
ELEM_K_019,19,K,24,0.68138,4.676105164854324,73.76087490442794
ELEM_Ca_020,20,Ca,22,0.68138,4.676105164854324,67.80855403265875
ELEM_Sc_021,21,Sc,23,0.68138,4.676105164854324,81.98780397107853
ELEM_Ti_022,22,Ti,17,0.762346,3.1174034432362157,149.05927232704
ELEM_V_023,23,V,25,0.68138,4.676105164854324,108.23123393919151
ELEM_Cr_024,24,Cr,18,0.762346,3.1174034432362157,118.40045044959359
ELEM_Mn_025,25,Mn,16,0.615961,6.234806886472431,148.77051679236268
ELEM_Fe_026,26,Fe,22,0.68138,4.676105164854324,32.567877834864625
ELEM_Co_027,27,Co,25,0.68138,4.676105164854324,69.60363975157237
ELEM_Ni_028,28,Ni,27,0.68138,4.676105164854324,103.96473761168576
ELEM_Cu_029,29,Cu,17,0.615961,6.234806886472431,124.54985614871929
ELEM_Zn_030,30,Zn,25,0.615961,6.234806886472431,134.09200821326624
ELEM_Ga_031,31,Ga,24,0.68138,4.676105164854324,121.60866197219121
ELEM_Ge_032,32,Ge,12,0.762346,3.1174034432362157,141.9882624256902
ELEM_As_033,33,As,21,0.68138,4.676105164854324,97.21111047611791
ELEM_Se_034,34,Se,21,0.68138,4.676105164854324,80.0791275343748
ELEM_Br_035,35,Br,27,0.615961,6.234806886472431,116.61046265237096
ELEM_Kr_036,36,Kr,31,0.68138,4.676105164854324,157.21535124365772
ELEM_Rb_037,37,Rb,23,0.68138,4.676105164854324,40.554490092549145
ELEM_Sr_038,38,Sr,24,0.762346,3.1174034432362157,122.06009448901253
ELEM_Y_039,39,Y,28,0.68138,4.676105164854324,68.27884006044626
ELEM_Zr_040,40,Zr,20,0.68138,4.676105164854324,147.36575812130397
ELEM_Nb_041,41,Nb,16,0.68138,4.676105164854324,122.51802588462917
ELEM_Mo_042,42,Mo,19,0.68138,4.676105164854324,119.5184783481896
ELEM_Tc_043,43,Tc,26,0.68138,4.676105164854324,48.11098280711657
ELEM_Ru_044,44,Ru,18,0.615961,6.234806886472431,181.02117739829964
ELEM_Rh_045,45,Rh,21,0.68138,4.676105164854324,155.55706348475468
ELEM_Pd_046,46,Pd,8,0.68138,4.676105164854324,116.36437026283718
ELEM_Ag_047,47,Ag,21,0.762346,3.1174034432362157,111.28342194594845
ELEM_Cd_048,48,Cd,21,0.762346,3.1174034432362157,102.68722737841678
ELEM_In_049,49,In,20,0.68138,4.676105164854324,177.5894140989265
ELEM_Sn_050,50,Sn,31,0.762346,3.1174034432362157,43.734044709661454
ELEM_Sb_051,51,Sb,13,0.68138,4.676105164854324,99.15980368408697
ELEM_Te_052,52,Te,23,0.762346,3.1174034432362157,126.81745410891462
ELEM_I_053,53,I,15,0.68138,4.676105164854324,119.76922253511819
ELEM_Xe_054,54,Xe,24,0.762346,3.1174034432362157,70.21870595978444
ELEM_Cs_055,55,Cs,26,0.68138,4.676105164854324,77.79888602458692
ELEM_Ba_056,56,Ba,20,0.68138,4.676105164854324,110.81816938871833
ELEM_La_057,57,La,19,0.68138,4.676105164854324,103.84603988597736
ELEM_Ce_058,58,Ce,17,0.68138,4.676105164854324,64.76624635307088
ELEM_Pr_059,59,Pr,21,0.762346,3.1174034432362157,138.3979768638256
ELEM_Nd_060,60,Nd,24,0.762346,3.1174034432362157,105.51145277488442
ELEM_Pm_061,61,Pm,20,0.68138,4.676105164854324,124.13970624528909
ELEM_Sm_062,62,Sm,21,0.68138,4.676105164854324,129.0348790056394
ELEM_Eu_063,63,Eu,15,0.615961,6.234806886472431,90.37698822156003
ELEM_Gd_064,64,Gd,24,0.68138,4.676105164854324,109.00458705944443
ELEM_Tb_065,65,Tb,20,0.68138,4.676105164854324,156.71843116451447
ELEM_Dy_066,66,Dy,29,0.615961,6.234806886472431,103.75291160573117
ELEM_Ho_067,67,Ho,21,0.68138,4.676105164854324,110.64357188738983
ELEM_Er_068,68,Er,23,0.68138,4.676105164854324,17.107503227141788
ELEM_Tm_069,69,Tm,20,0.68138,4.676105164854324,118.52707145064652
ELEM_Yb_070,70,Yb,27,0.68138,4.676105164854324,40.89824772122476
ELEM_Lu_071,71,Lu,28,0.68138,4.676105164854324,168.1328839539329
ELEM_Hf_072,72,Hf,19,0.615961,6.234806886472431,73.59800721939872
ELEM_Ta_073,73,Ta,27,0.762346,3.1174034432362157,108.46504813379592
ELEM_W_074,74,W,21,0.68138,4.676105164854324,63.314032146647136
ELEM_Re_075,75,Re,24,0.68138,4.676105164854324,97.70363350459388
ELEM_Os_076,76,Os,19,0.68138,4.676105164854324,74.38189743927393
ELEM_Ir_077,77,Ir,17,0.68138,4.676105164854324,157.99367075930604
ELEM_Pt_078,78,Pt,19,0.68138,4.676105164854324,94.99824559783548
ELEM_Au_079,79,Au,19,0.615961,6.234806886472431,65.46754921333164
ELEM_Hg_080,80,Hg,20,0.762346,3.1174034432362157,74.31464638055319
ELEM_Tl_081,81,Tl,19,0.68138,4.676105164854324,28.178005607210743
ELEM_Pb_082,82,Pb,26,0.68138,4.676105164854324,87.79901290257577
ELEM_Bi_083,83,Bi,22,0.615961,6.234806886472431,62.78534860936905
ELEM_Po_084,84,Po,16,0.68138,4.676105164854324,83.8212383587835
ELEM_At_085,85,At,18,0.68138,4.676105164854324,102.9465880930495
ELEM_Rn_086,86,Rn,22,0.68138,4.676105164854324,101.87574130609636
ELEM_Fr_087,87,Fr,21,0.68138,4.676105164854324,75.8463358816144
ELEM_Ra_088,88,Ra,23,0.68138,4.676105164854324,63.09252464964979
ELEM_Ac_089,89,Ac,20,0.615961,6.234806886472431,4.320493798938574
ELEM_Th_090,90,Th,16,0.68138,4.676105164854324,25.78113005022601
ELEM_Pa_091,91,Pa,24,0.68138,4.676105164854324,70.27564774989034
ELEM_U_092,92,U,26,0.68138,4.676105164854324,160.00833311633073
ELEM_Np_093,93,Np,24,0.68138,4.676105164854324,63.89053137985315
ELEM_Pu_094,94,Pu,23,0.68138,4.676105164854324,72.26340706055866
ELEM_Am_095,95,Am,22,0.615961,6.234806886472431,47.89572005931219
ELEM_Cm_096,96,Cm,21,0.615961,6.234806886472431,107.98456679853223
ELEM_Bk_097,97,Bk,27,0.68138,4.676105164854324,107.07940978544848
ELEM_Cf_098,98,Cf,32,0.762346,3.1174034432362157,81.69863319950137
ELEM_Es_099,99,Es,25,0.762346,3.1174034432362157,68.9492567037528
ELEM_Fm_100,100,Fm,22,0.68138,4.676105164854324,33.13608305156178
