TP53,PTEN,RB1,NKX3-1,AR,ERG,MYC,PIK3CA,AKT1,BRCA2,CDKN1B,FOXA1,SPOP,CHD1,APC,ATM,CDK12,KMT2C,KMT2D,MED12,NCOR1,NF1,NOTCH1,ZBTB16
0.007,0.001,0.0,0.0,1.0,0.999,0.0,1.0,0.032,0.98,0.99,0.0,0.997,0.003,0.999,0.0,1.0,0.004,0.022,0.004,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,1.0,0.999,0.0,1.0,0.037,0.978,0.988,0.0,0.996,0.002,0.998,0.0,1.0,0.002,0.027,0.004,0.0,0.0,0.0,0.0
0.014,0.0,0.001,0.0,1.0,1.0,0.0,1.0,0.042,0.974,0.993,0.0,0.993,0.004,0.999,0.0,1.0,0.004,0.034,0.004,0.0,0.0,0.0,0.0
0.019,0.0,0.001,0.0,1.0,1.0,0.0,1.0,0.053,0.975,0.989,0.0,0.996,0.006,0.999,0.0,1.0,0.002,0.031,0.004,0.0,0.0,0.0,0.0
0.016,0.0,0.001,0.0,1.0,1.0,0.0,1.0,0.04,0.971,0.99,0.0,0.994,0.007,0.999,0.001,1.0,0.003,0.037,0.003,0.0,0.001,0.0,0.0
0.019,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.038,0.973,0.991,0.0,0.993,0.006,1.0,0.0,1.0,0.004,0.042,0.002,0.0,0.0,0.0,0.0
0.016,0.0,0.0,0.0,1.0,0.999,0.0,1.0,0.045,0.979,0.989,0.001,0.996,0.006,1.0,0.0,1.0,0.001,0.053,0.001,0.001,0.0,0.0,0.001
0.019,0.0,0.001,0.0,1.0,0.997,0.0,0.999,0.05,0.979,0.988,0.0,0.997,0.006,1.0,0.0,1.0,0.002,0.052,0.002,0.0,0.0,0.0,0.0
0.016,0.0,0.002,0.0,1.0,0.997,0.0,0.999,0.046,0.981,0.98,0.0,0.997,0.008,1.0,0.0,1.0,0.002,0.056,0.002,0.0,0.0,0.0,0.001
0.02,0.0,0.004,0.0,1.0,0.996,0.0,1.0,0.046,0.978,0.971,0.0,0.993,0.005,1.0,0.0,1.0,0.002,0.048,0.002,0.0,0.0,0.0,0.001
0.02,0.0,0.005,0.0,1.0,0.999,0.0,0.999,0.045,0.971,0.973,0.0,0.991,0.003,1.0,0.0,0.999,0.001,0.044,0.003,0.001,0.0,0.0,0.0
0.015,0.0,0.009,0.0,1.0,1.0,0.0,0.996,0.034,0.973,0.972,0.0,0.987,0.003,1.0,0.0,1.0,0.001,0.037,0.001,0.001,0.0,0.0,0.0
0.011,0.0,0.007,0.0,0.999,1.0,0.0,0.995,0.032,0.977,0.973,0.0,0.985,0.003,1.0,0.0,1.0,0.001,0.036,0.0,0.001,0.0,0.0,0.0
0.01,0.0,0.008,0.0,1.0,1.0,0.0,0.991,0.027,0.977,0.973,0.0,0.988,0.002,1.0,0.0,0.999,0.0,0.033,0.0,0.0,0.0,0.0,0.0
0.012,0.0,0.012,0.001,1.0,1.0,0.0,0.991,0.029,0.976,0.973,0.0,0.991,0.0,1.0,0.0,1.0,0.0,0.032,0.0,0.001,0.0,0.0,0.0
0.006,0.0,0.017,0.001,1.0,1.0,0.0,0.994,0.02,0.968,0.97,0.0,0.992,0.0,0.998,0.001,1.0,0.0,0.042,0.0,0.001,0.0,0.0,0.0
0.01,0.0,0.018,0.0,1.0,1.0,0.0,0.989,0.023,0.979,0.968,0.0,0.994,0.0,0.998,0.004,1.0,0.0,0.046,0.0,0.004,0.001,0.0,0.0
0.008,0.001,0.021,0.0,0.999,1.0,0.0,0.99,0.015,0.981,0.971,0.0,0.994,0.0,1.0,0.007,1.0,0.0,0.046,0.0,0.003,0.003,0.0,0.0
0.004,0.0,0.025,0.0,1.0,1.0,0.001,0.989,0.01,0.982,0.975,0.0,0.993,0.0,1.0,0.014,1.0,0.0,0.053,0.0,0.006,0.003,0.0,0.0
0.006,0.0,0.027,0.0,1.0,1.0,0.002,0.989,0.011,0.984,0.977,0.0,0.993,0.0,1.0,0.011,0.999,0.0,0.05,0.0,0.008,0.004,0.0,0.0
0.001,0.0,0.029,0.0,1.0,1.0,0.001,0.986,0.006,0.983,0.976,0.0,0.997,0.0,1.0,0.02,1.0,0.0,0.06,0.0,0.016,0.003,0.0,0.001
0.001,0.0,0.034,0.0,1.0,0.999,0.002,0.986,0.006,0.979,0.982,0.0,0.998,0.0,1.0,0.017,1.0,0.0,0.07,0.0,0.017,0.0,0.0,0.001
