additive,dosage,dosage_percent,compressive_strength_MPa,tensile_strength_MPa,durability_index,self_healing_potential,sustainability_score,ubp_energy,nrci_coherence,resonance_strength,structural_opt,smart_material_index
Barium_Titanate,0.0,0.0,0.00033170043275346765,3.317004327534677e-05,0.6691036137364486,4.223254869039104e-07,0.99999992887425,7.1125755072669506e-06,0.9327153923766934,4.527913770434989e-07,0.40549183509620357,0.0
Barium_Titanate,0.002631578947368421,0.2631578947368421,0.000339278227095449,3.39278227095449e-05,0.6730751215025035,4.2245521804468306e-07,0.9999999273037823,7.2696222960197674e-06,0.9334136308050259,4.525916529420457e-07,0.41273661219998115,0.05263157894736842
Barium_Titanate,0.005263157894736842,0.5263157894736842,0.0003408920714551251,3.408920714551251e-05,0.6733976266523616,4.225755213780057e-07,0.9999999270107041,7.298930128045323e-06,0.9340877785506823,4.523938018262781e-07,0.41270747475404096,0.10526315789473684
Barium_Titanate,0.007894736842105263,0.7894736842105263,0.0003424895005348889,3.424895005348889e-05,0.673706675351582,4.226869447033637e-07,0.9999999267197681,7.328023717786461e-06,0.9347390612385816,4.5219779747224833e-07,0.41267428946458234,0.15789473684210525
Barium_Titanate,0.010526315789473684,1.0526315789473684,0.0003440711157396683,3.4407111573966826e-05,0.6740028439679209,4.2278999803518134e-07,0.9999999264309104,7.356909508710854e-06,0.9353686227410445,4.5200361414328754e-07,0.41263706519479737,0.21052631578947367
Barium_Titanate,0.013157894736842105,1.3157894736842104,0.0003456374787126237,3.4563747871262377e-05,0.6742866718425012,4.228851567299278e-07,0.9999999261440705,7.385593498542495e-06,0.935977531882396,4.518112265787408e-07,0.41259581180260646,0.2631578947368421
Barium_Titanate,0.015789473684210527,1.5789473684210527,0.00034718911457326345,3.471891145732634e-05,0.6745586643169188,4.2297286430967175e-07,0.9999999258591927,7.414081277244442e-06,0.9365667884943977,4.516206099830134e-07,0.41255054013943987,0.3157894736842105
Barium_Titanate,0.018421052631578946,1.8421052631578945,0.0003487265148544125,3.487265148544125e-05,0.6748192954717441,4.230535350158523e-07,0.9999999255762249,7.442378061403785e-06,0.9371373288946722,4.514317400149158e-07,0.4125012620488161,0.3684210526315789
Barium_Titanate,0.021052631578947368,2.1052631578947367,0.0003502501401702893,3.502501401702893e-05,0.6750690106079944,4.2312755612281706e-07,0.9999999252951184,7.470488725412172e-06,0.9376900308512677,4.512445927773031e-07,0.412447990364721,0.42105263157894735
Barium_Titanate,0.02368421052631579,2.368421052631579,0.0003517604226440407,3.517604226440407e-05,0.6753082284992534,4.231952900370275e-07,0.9999999250158275,7.498417829786611e-06,0.9382257180887213,4.5105914480699506e-07,0.41239073890978545,0.4736842105263158
Barium_Titanate,0.02631578947368421,2.631578947368421,0.0003532577681197316,3.5325776811973163e-05,0.6755373434387726,4.232570762047004e-07,0.9999999247383092,7.526169646933538e-06,0.9387451643842838,4.508753730649699e-07,0.41232952249326144,0.5263157894736842
Barium_Titanate,0.02894736842105263,2.8947368421052633,0.00035474255818084737,3.547425581808474e-05,0.6757567271029666,4.233132328479243e-07,0.9999999244625238,7.553748184622928e-06,0.9392490972971337,4.506932549268218e-07,0.4122643569087996,0.5789473684210527
Barium_Titanate,0.031578947368421054,3.1578947368421053,0.00035621515199483485,3.562151519948349e-05,0.6759667302502099,4.2336405854694215e-07,0.9999999241884336,7.581157207407826e-06,0.9397382015683938,4.505127681734771e-07,0.412195258932026,0.631578947368421
Barium_Titanate,0.034210526315789476,3.421052631578948,0.0003576758880009689,3.5767588800096887e-05,0.6761676842716332,4.2340983368422314e-07,0.9999999239160031,7.60840025619728e-06,0.9402131222253475,4.5033389098215706e-07,0.41212224631791894,0.6842105263157895
Barium_Titanate,0.03684210526315789,3.684210526315789,0.00035912508545691066,3.591250854569107e-05,0.676359902608724,4.2345082176417434e-07,0.9999999236451992,7.635480666166987e-06,0.9406744674194599,4.50156601917581e-07,0.41204533779798813,0.7368421052631579
Barium_Titanate,0.039473684210526314,3.9473684210526314,0.0003605630458576114,3.605630458576114e-05,0.6765436820508551,4.2348727062077275e-07,0.9999999233759901,7.662401583171099e-06,0.9411228110244562,4.4998087992340453e-07,0.4119645530772541,0.7894736842105263
Barium_Titanate,0.042105263157894736,4.2105263157894735,0.0003619900542387273,3.619900542387273e-05,0.6767193039244113,4.235194135240335e-07,0.9999999231083462,7.68916597880043e-06,0.9415586950177932,4.4980670431388244e-07,0.4118799128310294,0.8421052631578947
Barium_Titanate,0.04473684210526316,4.473684210526316,0.0003634063803754084,3.634063803754084e-05,0.6768870351839068,4.235474701950351e-07,0.9999999228422394,7.715776664216514e-06,0.9419826316663091,4.496340547657506e-07,0.4117914387015045,0.8947368421052632
Barium_Titanate,0.04736842105263158,4.736842105263158,0.00036481227988616053,3.6481227988616056e-05,0.6770471294143571,4.235716477381704e-07,0.999999922577643,7.742236302876763e-06,0.9423951055345808,4.494629113103215e-07,0.41169915329413337,0.9473684210526316
Barium_Titanate,0.05,5.0,0.00036620799525046463,3.662079952504646e-05,0.6771998277531821,4.2359214149836113e-07,0.9999999223145317,7.768547422253785e-06,0.942796575332539,4.4929325432578456e-07,0.4116030801738253,1.0
