additive,dosage,dosage_percent,compressive_strength_MPa,tensile_strength_MPa,durability_index,self_healing_potential,sustainability_score,ubp_energy,nrci_coherence,resonance_strength,structural_opt
Basalt_Fibers,0.0,0.0,0.00033170043275346765,3.317004327534677e-05,0.6691036137364486,4.223254869039104e-07,0.99999992887425,7.1125755072669506e-06,0.9327153923766934,4.527913770434989e-07,0.40549183509620357
Basalt_Fibers,0.002631578947368421,0.2631578947368421,0.0003360545292594561,3.578762519386416e-05,0.6691315850518156,4.2234426306657855e-07,0.9999999288796815,7.1120323723785254e-06,0.9327578035550749,4.527909189897666e-07,0.4055053665485564
Basalt_Fibers,0.005263157894736842,0.5263157894736842,0.0003404079170978793,3.840499577514535e-05,0.6691592846453716,4.223629281894767e-07,0.9999999288851853,7.111481983416623e-06,0.9327999697970496,4.527904608330666e-07,0.40551859949369345
Basalt_Fibers,0.007894736842105263,0.7894736842105263,0.000344760580078148,4.102214497132394e-05,0.6691867129183466,4.2238148259438645e-07,0.9999999288907615,7.1109243498199526e-06,0.9328418918126377,4.527900025733645e-07,0.4055315340240557
Basalt_Fibers,0.010526315789473684,1.0526315789473684,0.00034911250204106443,4.363906275513306e-05,0.6692138702689502,4.223999266004178e-07,0.9999999288964103,7.1103594809850935e-06,0.9328835703059624,4.527895442106256e-07,0.405544170231938
Basalt_Fibers,0.013157894736842105,1.3157894736842104,0.0003534636668586129,4.6255739119769095e-05,0.669240757092388,4.224182605240264e-07,0.9999999289021313,7.109787386266765e-06,0.9329250059752874,4.5278908574481495e-07,0.4055565082094886
Basalt_Fibers,0.015789473684210527,1.5789473684210527,0.0003578140584337491,4.8872164078755976e-05,0.6692673737808784,4.224364846790285e-07,0.9999999289079244,7.109208074978038e-06,0.9329661995130489,4.527886271758981e-07,0.40556854804870796
Basalt_Fibers,0.018421052631578946,1.8421052631578945,0.00036216366070019267,5.148832766581053e-05,0.6692937207236703,4.2245459937661666e-07,0.9999999289137895,7.10862155639056e-06,0.9330071516058926,4.5278816850383996e-07,0.405580289841448
Basalt_Fibers,0.021052631578947368,2.1052631578947367,0.0003665124576222184,5.4104219934708435e-05,0.6693197983070578,4.2247260492537473e-07,0.9999999289197268,7.108027839734768e-06,0.9330478629347039,4.5278770972860585e-07,0.40559173367941165
Basalt_Fibers,0.02368421052631579,2.368421052631579,0.00037086043319445224,5.671983095915152e-05,0.6693456069143976,4.2249050163129306e-07,0.9999999289257357,7.10742693420013e-06,0.9330883341746434,4.5278725085016093e-07,0.4056028796541517
Basalt_Fibers,0.02631578947368421,2.631578947368421,0.00037520757144166516,5.9335150832635424e-05,0.6693711469261248,4.2250828979778346e-07,0.9999999289318166,7.106818848935343e-06,0.9331285659951792,4.527867918684704e-07,0.40561372785707034
Basalt_Fibers,0.02894736842105263,2.8947368421052633,0.0003795538564185715,6.195016966831857e-05,0.6693964187197691,4.2252596972569405e-07,0.999999928937969,7.106203593048561e-06,0.9331685590601201,4.527863327834993e-07,0.405624278379418
Basalt_Fibers,0.031578947368421054,3.1578947368421053,0.00038389927220962565,6.456487759889158e-05,0.6694214226699696,4.2254354171332356e-07,0.9999999289441933,7.105581175607604e-06,0.933208314027646,4.52785873595213e-07,0.40563453131229316
Basalt_Fibers,0.034210526315789476,3.421052631578948,0.0003882438029288217,6.71792647764478e-05,0.6694461591484917,4.225610060564361e-07,0.999999928950489,7.1049516056401674e-06,0.9332478315503424,4.5278541430357646e-07,0.4056444867466411
Basalt_Fibers,0.03684210526315789,3.684210526315789,0.00039258743271949344,6.97933213723544e-05,0.6694706285242412,4.22578363048275e-07,0.9999999289568561,7.104314892134022e-06,0.9332871122752292,4.5278495490855484e-07,0.4056541447732533
Basalt_Fibers,0.039473684210526314,3.9473684210526314,0.0003969301457541163,7.240703757712452e-05,0.6694948311632802,4.225956129795769e-07,0.9999999289632945,7.103671044037234e-06,0.9333261568437936,4.5278449541011277e-07,0.40566350548276686
Basalt_Fibers,0.042105263157894736,4.2105263157894735,0.00040127192623411136,7.502040360029038e-05,0.6695187674288422,4.226127561385876e-07,0.9999999289698044,7.103020070258384e-06,0.933364965892021,4.527840358082165e-07,0.40567256896566345
Basalt_Fibers,0.04473684210526316,4.473684210526316,0.0004056127583896468,7.763340967027648e-05,0.669542437681347,4.226297928110724e-07,0.9999999289763851,7.102361979666724e-06,0.9334035400504249,4.5278357610282986e-07,0.405681335312269
Basalt_Fibers,0.04736842105263158,4.736842105263158,0.00040995262647944535,8.024604603427442e-05,0.6695658422784146,4.226467232803327e-07,0.9999999289830371,7.101696781092427e-06,0.9334418799440766,4.527831162939185e-07,0.4056898046127528
Basalt_Fibers,0.05,5.0,0.0004142915147905892,8.285830295811785e-05,0.6695889815748814,4.226635478272186e-07,0.9999999289897602,7.1010244833267475e-06,0.9334799861926367,4.527826563814471e-07,0.4056979769571263
