additive,dosage,dosage_percent,compressive_strength_MPa,tensile_strength_MPa,durability_index,self_healing_potential,sustainability_score,ubp_energy,nrci_coherence,resonance_strength,structural_opt
Bacterial_Spores,0.0,0.0,0.00033170043275346765,3.317004327534677e-05,0.6691036137364486,4.223254869039104e-07,0.99999992887425,7.1125755072669506e-06,0.9327153923766934,4.527913770434989e-07,0.40549183509620357
Bacterial_Spores,0.002631578947368421,0.2631578947368421,0.0003536443281218589,3.5364432812185894e-05,0.6829600478919382,5.890728616996044e-07,0.9999999241634803,7.583652539812301e-06,0.9326490797549428,4.528542797332683e-07,0.43327101602893353
Bacterial_Spores,0.005263157894736842,0.5263157894736842,0.00035285068694402595,3.5285068694402595e-05,0.6829183973463397,7.55843108285766e-07,0.9999999243282718,7.5671733881293595e-06,0.9325825347085175,4.5291746063615473e-07,0.433254259984162
Bacterial_Spores,0.007894736842105263,0.7894736842105263,0.0003520576186908507,3.520576186908507e-05,0.6828769233474562,9.226364016754845e-07,0.9999999244929451,7.5507060644253405e-06,0.9325157559755828,4.5298092160201784e-07,0.43323809071932956
Bacterial_Spores,0.010526315789473684,1.0526315789473684,0.0003512651240201725,3.5126512402017256e-05,0.6828356275251333,1.0894529185711272e-06,0.9999999246574999,7.534250583242944e-06,0.932448742284806,4.530446644971534e-07,0.4332225127654606
Bacterial_Spores,0.013157894736842105,1.3157894736842104,0.0003504732034471561,3.504732034471561e-05,0.68279451143571,1.2562928373840489e-06,0.9999999248219361,7.5178069560740574e-06,0.932381492355265,4.531086912044761e-07,0.433207530516155
Bacterial_Spores,0.015789473684210527,1.5789473684210527,0.00034968185734526023,3.496818573452603e-05,0.6827535765617962,1.423156338254575e-06,0.9999999249862538,7.501375191379541e-06,0.9323140048963527,4.5317300362370616e-07,0.43319314822723964
Bacterial_Spores,0.018421052631578946,1.8421052631578945,0.00034889108594721423,3.488910859472142e-05,0.6827128243120569,1.5900436030722448e-06,0.9999999251504526,7.484955294609209e-06,0.9322462786076797,4.5323760367155465e-07,0.43317937001643414
Bacterial_Spores,0.021052631578947368,2.1052631578947367,0.0003481008893460183,3.481008893460183e-05,0.6826722560210048,1.7569548154963587e-06,0.9999999253145329,7.468547268222258e-06,0.9321783121789813,4.5330249328191655e-07,0.43316619986302823
Bacterial_Spores,0.02368421052631579,2.368421052631579,0.00034731126749594797,3.47311267495948e-05,0.682631872948794,1.9238901609767817e-06,0.9999999254784944,7.452151111707855e-06,0.932110104290015,4.533676744060628e-07,0.43315364160757314
Bacterial_Spores,0.02631578947368421,2.631578947368421,0.0003465222202135778,3.465222202135778e-05,0.6825916762810248,2.0908498267750526e-06,0.9999999256423373,7.435766821606078e-06,0.9320416536104643,4.5343314901283567e-07,0.4331416989515852
Bacterial_Spores,0.02894736842105263,2.8947368421052633,0.0003457337471788165,3.457337471788165e-05,0.6825516671285496,2.257834001985772e-06,0.9999999258060617,7.419394391529144e-06,0.9319729587998367,4.534989190888468e-07,0.43313037545726274
Bacterial_Spores,0.031578947368421054,3.1578947368421053,0.0003449458479359563,3.4494584793595634e-05,0.6825118465272892,2.424842877558298e-06,0.9999999259696674,7.403033812182904e-06,0.9319040185073623,4.535649866386785e-07,0.4331196745472162
Bacterial_Spores,0.034210526315789476,3.421052631578948,0.00034415852189473463,3.441585218947346e-05,0.6824722154380505,2.5918766463187405e-06,0.9999999261331548,7.386685071388639e-06,0.9318348313718905,4.5363135368508814e-07,0.4331095995042104
Bacterial_Spores,0.03684210526315789,3.684210526315789,0.00034337176833140927,3.433717683314093e-05,0.6824327747463534,2.758935502992253e-06,0.9999999262965239,7.370348154105111e-06,0.9317653960217855,4.536980222692132e-07,0.43310015347092146
Bacterial_Spores,0.039473684210526314,3.9473684210526314,0.0003425855863898454,3.425855863898454e-05,0.6823935252622628,2.9260196442256434e-06,0.9999999264597751,7.354023042450899e-06,0.9316957110748209,4.537649944507808e-07,0.4330913394497048
Bacterial_Spores,0.042105263157894736,4.2105263157894735,0.00034179997508261784,3.417999750826179e-05,0.6823544677202249,3.0931292686103033e-06,0.9999999266229083,7.337709715727032e-06,0.9316257751380719,4.5383227230832086e-07,0.433083160302378
Bacterial_Spores,0.04473684210526316,4.473684210526316,0.0003410149332921235,3.410149332921235e-05,0.6823156027789119,3.260264576705451e-06,0.9999999267859239,7.321408150439855e-06,0.9315555868078084,4.538998579393802e-07,0.43307561875001555
Bacterial_Spores,0.04736842105263158,4.736842105263158,0.0003402304597717058,3.402304597717058e-05,0.6822769310210702,3.427425771061704e-06,0.9999999269488222,7.305118320324166e-06,0.9314851446693829,4.539677534607407e-07,0.43306871737275754
Bacterial_Spores,0.05,5.0,0.0003394465531467932,3.3944655314679324e-05,0.6822384529533759,3.594613056244979e-06,0.9999999271116033,7.288840196366629e-06,0.9314144472971212,4.5403596100864023e-07,0.43306245860963066
