additive,dosage,dosage_percent,compressive_strength_MPa,tensile_strength_MPa,durability_index,self_healing_potential,sustainability_score,ubp_energy,nrci_coherence,resonance_strength,structural_opt,smart_material_index
Zinc_Oxide,0.0,0.0,0.00033170043275346765,3.317004327534677e-05,0.6691036137364486,4.223254869039104e-07,0.99999992887425,7.1125755072669506e-06,0.9327153923766934,4.527913770434989e-07,0.40549183509620357,0.0
Zinc_Oxide,0.002631578947368421,0.2631578947368421,0.00033781404708216757,3.3781404708216755e-05,0.672842977130599,4.2254833776780316e-07,0.9999999275814865,7.2418518745254965e-06,0.9329493420612168,4.529167005297883e-07,0.41273661219998115,0.02631578947368421
Zinc_Oxide,0.005263157894736842,0.5263157894736842,0.0003379759383992848,3.379759383992848e-05,0.6729443347670534,4.2277031161445415e-07,0.9999999275647825,7.243522271769304e-06,0.9331811947800658,4.5304203940167655e-07,0.41270747475404096,0.05263157894736842
Zinc_Oxide,0.007894736842105263,0.7894736842105263,0.0003381330168692094,3.381330168692094e-05,0.6730426340328459,4.229914203881594e-07,0.9999999275489574,7.245104774232777e-06,0.9334109786011096,4.5316739366199753e-07,0.41267428946458234,0.07894736842105263
Zinc_Oxide,0.010526315789473684,1.0526315789473684,0.000338285303281385,3.38285303281385e-05,0.6731378931441601,4.232116758210448e-07,0.9999999275340082,7.246599688692623e-06,0.9336387210935227,4.5329276331358544e-07,0.41263706519479737,0.10526315789473684
Zinc_Oxide,0.013157894736842105,1.3157894736842104,0.0003384328190163929,3.3843281901639294e-05,0.6732301305707111,4.234310894377595e-07,0.9999999275199319,7.248007336739423e-06,0.9338644493388157,4.534181483592747e-07,0.41259581180260646,0.13157894736842105
Zinc_Oxide,0.015789473684210527,1.5789473684210527,0.0003385755860519901,3.3857558605199014e-05,0.6733193650405033,4.2364967256004287e-07,0.9999999275067247,7.249328054841807e-06,0.9340881899415667,4.535435488019016e-07,0.41255054013943987,0.15789473684210525
Zinc_Oxide,0.018421052631578946,1.8421052631578945,0.00033871362696880574,3.3871362696880574e-05,0.6734056155443462,4.2386743631117027e-07,0.9999999274943833,7.250562194404872e-06,0.9343099690398764,4.5366896464430166e-07,0.4125012620488161,0.18421052631578946
Zinc_Oxide,0.021052631578947368,2.1052631578947367,0.00033884696495570075,3.388469649557008e-05,0.6734889013401348,4.2408439162028653e-07,0.999999927482904,7.251710121823001e-06,0.9345298123155488,4.5379439588931196e-07,0.412447990364721,0.21052631578947367
Zinc_Oxide,0.02368421052631579,2.368421052631579,0.00033897562381478996,3.3897562381478996e-05,0.6735692419568933,4.243005492266216e-07,0.999999927472283,7.2527722185270206e-06,0.9347477450040012,4.539198425397703e-07,0.41239073890978545,0.2368421052631579
Zinc_Oxide,0.02631578947368421,2.631578947368421,0.0003390996279661367,3.390996279661367e-05,0.6736466571985925,4.245159196835996e-07,0.9999999274625163,7.25374888102581e-06,0.9349637919039235,4.5404530459851505e-07,0.41232952249326144,0.2631578947368421
Zinc_Oxide,0.02894736842105263,2.8947368421052633,0.0003392190024521247,3.392190024521247e-05,0.6737211671477423,4.2473051336284125e-07,0.9999999274536001,7.254640520942498e-06,0.9351779773866852,4.5417078206838497e-07,0.4122643569087996,0.2894736842105263
Zinc_Oxide,0.031578947368421054,3.1578947368421053,0.00033933377294150544,3.393337729415055e-05,0.6737927921687625,4.249443404580628e-07,0.9999999274455295,7.255447565045141e-06,0.9353903254054989,4.542962749522197e-07,0.412195258932026,0.3157894736842105
Zinc_Oxide,0.034210526315789476,3.421052631578948,0.00033944396573313147,3.394439657331315e-05,0.6738615529111345,4.251574109888753e-07,0.9999999274383006,7.2561704552720815e-06,0.93560085950435,4.5442178325286e-07,0.41212224631791894,0.34210526315789475
Zinc_Oxide,0.03684210526315789,3.684210526315789,0.00033954960775937925,3.395496077593793e-05,0.6739274703123445,4.25369734804487e-07,0.9999999274319088,7.256809648752006e-06,0.9358096028267008,4.5454730697314686e-07,0.41204533779798813,0.3684210526315789
Zinc_Oxide,0.039473684210526314,3.9473684210526314,0.0003396507265892591,3.396507265892591e-05,0.6739905656006118,4.2558132158731137e-07,0.999999927426349,7.257365617818675e-06,0.9360165781239693,4.54672846115922e-07,0.4119645530772541,0.39473684210526316
Zinc_Oxide,0.042105263157894736,4.2105263157894735,0.0003397473504312259,3.397473504312259e-05,0.6740508602974132,4.2579218085648453e-07,0.9999999274216168,7.257838850020509e-06,0.936221807763797,4.547984006840281e-07,0.4118799128310294,0.42105263157894735
Zinc_Oxide,0.04473684210526316,4.473684210526316,0.0003398395081356864,3.398395081356864e-05,0.6741083762198052,4.2600232197129234e-07,0.9999999274177068,7.258229848124988e-06,0.9364253137381061,4.5492397068030796e-07,0.4117914387015045,0.4473684210526316
Zinc_Oxide,0.04736842105263158,4.736842105263158,0.0003399272291972114,3.3992722919721145e-05,0.6741631354825447,4.262117541345149e-07,0.999999927414614,7.258539130117955e-06,0.9366271176709561,4.5504955610760587e-07,0.41169915329413337,0.4736842105263158
Zinc_Oxide,0.05,5.0,0.0003400105437564549,3.4001054375645495e-05,0.6742151605000146,4.264204863956834e-07,0.9999999274123329,7.258767229197859e-06,0.9368272408262038,4.551751569687661e-07,0.4116030801738253,0.5
