additive,dosage,dosage_percent,compressive_strength_MPa,tensile_strength_MPa,durability_index,self_healing_potential,sustainability_score,ubp_energy,nrci_coherence,resonance_strength,structural_opt
Carbon_Nanotubes,0.0,0.0,0.00033170043275346765,3.317004327534677e-05,0.6691036137364486,4.223254869039104e-07,0.99999992887425,7.1125755072669506e-06,0.9327153923766934,4.527913770434989e-07,0.40549183509620357
Carbon_Nanotubes,0.002631578947368421,0.2631578947368421,0.0003419420964086924,4.3192685862150625e-05,0.6757975408867604,4.2234616563592315e-07,0.9999999266710717,7.33289336621374e-06,0.9326253071787146,4.5285728618448367e-07,0.41896977459480605
Carbon_Nanotubes,0.005263157894736842,0.5263157894736842,0.00034113673684592897,5.206823878174705e-05,0.6757389244287813,4.2236698148006825e-07,0.9999999268366906,7.3163314737538465e-06,0.9325349406863309,4.529234917130428e-07,0.4189429081712316
Carbon_Nanotubes,0.007894736842105263,0.7894736842105263,0.0003403286049121844,6.090090824744353e-05,0.6756783505284698,4.223879355701944e-07,0.9999999270029141,7.299709119050352e-06,0.9324442915787282,4.529899956329255e-07,0.4189124094782114
Carbon_Nanotubes,0.010526315789473684,1.0526315789473684,0.000339517727900392,6.969048099008047e-05,0.6756158225800175,4.224090290516881e-07,0.9999999271697366,7.2830268651975475e-06,0.9323533585267992,4.530567999659825e-07,0.4188782866332357
Carbon_Nanotubes,0.013157894736842105,1.3157894736842104,0.00033870413375130533,7.843674676346018e-05,0.6755513444127702,4.2243026308161375e-07,0.9999999273371525,7.266285289267647e-06,0.9322621401930741,4.531239067523725e-07,0.4188405486324663
Carbon_Nanotubes,0.015789473684210527,1.5789473684210527,0.0003378878510444095,8.713949842724247e-05,0.6754849202906522,4.2245163882885905e-07,0.9999999275051553,7.249484982123245e-06,0.932170635231658,4.531913180507705e-07,0.41879920534964643
Carbon_Nanotubes,0.018421052631578946,1.8421052631578945,0.0003370689089886988,9.579853202836702e-05,0.6754165549114991,4.224731574742761e-07,0.9999999276737398,7.23262654822692e-06,0.9320788422881624,4.5325903593857557e-07,0.4187542675348358
Carbon_Nanotubes,0.021052631578947368,2.1052631578947367,0.00033624733741333715,0.00010441364688098365,0.675346253406304,4.224948202108312e-07,0.9999999278428992,7.215710605448251e-06,0.9319867599996382,4.5332706251212754e-07,0.41870574681296996
Carbon_Nanotubes,0.02368421052631579,2.368421052631579,0.00033542316675819515,0.00011298464564486575,0.6752740213383777,4.2251662824375226e-07,0.9999999280126274,7.198737784868141e-06,0.9318943869945087,4.533953998869209e-07,0.41865365568224666
Carbon_Nanotubes,0.02631578947368421,2.631578947368421,0.0003345964280642661,0.0001215113344022861,0.6751998647024173,4.2253858279068113e-07,0.9999999281829177,7.181708730580518e-06,0.9318017218924993,4.5346405019782615e-07,0.41859800751233545
Carbon_Nanotubes,0.02894736842105263,2.8947368421052633,0.0003337671529639703,0.0001299935227333358,0.6751237899234932,4.2256068508182517e-07,0.9999999283537642,7.164624099491566e-06,0.9317087633045701,4.5353301559930973e-07,0.41853881654241637
Carbon_Nanotubes,0.031578947368421054,3.1578947368421053,0.0003329353736713421,0.0001384310237896633,0.6750458038559437,4.225829363601141e-07,0.9999999285251595,7.147484561116398e-06,0.931615509832845,4.5360229826566115e-07,0.4184760978790424
Carbon_Nanotubes,0.034210526315789476,3.421052631578948,0.0003321011229721073,0.00014682365436661588,0.6749659137821846,4.2260533788135787e-07,0.9999999286970971,7.1302907973733346e-06,0.9315219600705404,4.536719003912217e-07,0.4184098674938288
Carbon_Nanotubes,0.03684210526315789,3.684210526315789,0.0003312644342136535,0.000155171234973764,0.674884127411434,4.2262789091440567e-07,0.99999992886957,7.113043502375795e-06,0.9314281126018965,4.537418241906146e-07,0.4183401422209715
Carbon_Nanotubes,0.039473684210526314,3.9473684210526314,0.0003304253412948909,0.00016347358990378814,0.6748004528783462,4.226505967413089e-07,0.9999999290425711,7.095743382221821e-06,0.9313339660021022,4.538120718989808e-07,0.41826693975459023
Carbon_Nanotubes,0.042105263157894736,4.2105263157894735,0.0003295838786560138,0.00017173054729971248,0.6747148987415625,4.2267345665748635e-07,0.9999999292160934,7.078391154781379e-06,0.9312395188372243,4.538826457722177e-07,0.4181902786459007
Carbon_Nanotubes,0.04473684210526316,4.473684210526316,0.00032874008126815936,0.0001799419392204662,0.6746274739821752,4.226964719718902e-07,0.9999999293901295,7.060987549481409e-06,0.9311447696641344,4.539535480872191e-07,0.41811017830021585
Carbon_Nanotubes,0.04736842105263158,4.736842105263158,0.0003278939846229686,0.0001881076017047557,0.674538188002104,4.2271964400717685e-07,0.9999999295646719,7.043533307088704e-06,0.9310497170304335,4.5402478114212166e-07,0.4180266589737745
Carbon_Nanotubes,0.05,5.0,0.00032704562472205266,0.0001962273748332316,0.6744470506223892,4.2274297409987855e-07,0.9999999297397131,7.026029179490694e-06,0.9309543594743787,4.5409634725655215e-07,0.4179397417703998
