additive,dosage,dosage_percent,compressive_strength_MPa,tensile_strength_MPa,durability_index,self_healing_potential,sustainability_score,ubp_energy,nrci_coherence,resonance_strength,structural_opt
Nano_Silica,0.0,0.0,0.00033170043275346765,3.317004327534677e-05,0.6691036137364486,4.223254869039104e-07,0.99999992887425,7.1125755072669506e-06,0.9327153923766934,4.527913770434989e-07,0.40549183509620357
Nano_Silica,0.002631578947368421,0.2631578947368421,0.0003663869147237689,3.314929228453148e-05,0.7219926658267691,4.222602603775832e-07,0.9999999289197716,7.108023348644249e-06,0.932728851850331,4.527149123133811e-07,0.40559901651148483
Nano_Silica,0.005263157894736842,0.5263157894736842,0.0004010301004859401,3.312857351840375e-05,0.7748915937348182,4.221949231552971e-07,0.9999999289652225,7.103478249107887e-06,0.9327423089544707,4.5263833226193387e-07,0.40570680749657884
Nano_Silica,0.007894736842105263,0.7894736842105263,0.00043563008900906217,3.3107886764688724e-05,0.8278004687750087,4.2212947498969895e-07,0.9999999290106033,7.0989401627972856e-06,0.9327557636897394,4.5256163662807554e-07,0.4058152070953808
Nano_Silica,0.010526315789473684,1.0526315789473684,0.0004701869783558494,3.308723181022644e-05,0.8807193621016394,4.220639156326862e-07,0.9999999290559146,7.094409043664879e-06,0.9327692160567616,4.5248482514993554e-07,0.4059242143377302
Nano_Silica,0.013157894736842105,1.3157894736842104,0.0005047008656780958,3.306660844097869e-05,0.9336483447061357,4.2199824483540507e-07,0.9999999291011566,7.08988484547755e-06,0.9327826660561632,4.5240789756485076e-07,0.4060338282394274
Nano_Silica,0.015789473684210527,1.5789473684210527,0.0005391718472121567,3.304601644203542e-05,0.986587487414288,4.2193246234824865e-07,0.9999999291463298,7.0853675218180485e-06,0.932796113688569,4.52330853609365e-07,0.4061440478022504
Nano_Silica,0.018421052631578946,1.8421052631578945,0.0005736000182744736,3.3025455597621204e-05,1.039536860883499,4.2186656792085223e-07,0.9999999291914347,7.080857026086377e-06,0.9328095589546037,4.522536930192231e-07,0.4062548720139713
Nano_Silica,0.021052631578947368,2.1052631578947367,0.0006079854732571389,3.300492569110183e-05,1.0924965356000322,4.2180056130209123e-07,0.999999929236472,7.076353311501214e-06,0.9328230018548915,4.521764155293695e-07,0.4063662998483737
Nano_Silica,0.02368421052631579,2.368421052631579,0.0006423283056235084,3.2984426504990974e-05,1.1454665818762673,4.217344422400793e-07,0.9999999292814418,7.071856331101357e-06,0.9328364423900576,4.5209902087394506e-07,0.4064783302652702
Nano_Silica,0.02631578947368421,2.631578947368421,0.0006766286079038444,3.296395782095653e-05,1.1984470698479561,4.2166821048216356e-07,0.9999999293263445,7.067366037747097e-06,0.9328498805607253,4.520215087862837e-07,0.40659096221051977
Nano_Silica,0.02894736842105263,2.8947368421052633,0.0007108864716910125,3.2943519419827414e-05,1.251438069471488,4.2160186577492366e-07,0.9999999293711811,7.062882384121685e-06,0.9328633163675187,4.5194387899890987e-07,0.4067041946160457
Nano_Silica,0.031578947368421054,3.1578947368421053,0.0007451019876362125,3.292311108160009e-05,1.3044396505211555,4.215354078641671e-07,0.9999999294159517,7.058405322732738e-06,0.9328767498110621,4.5186613124353434e-07,0.40681802639985437
Nano_Silica,0.034210526315789476,3.421052631578948,0.0007792752454447528,3.290273258544512e-05,1.3574518825864257,4.2146883649492774e-07,0.9999999294606569,7.053934805913669e-06,0.9328901808919781,4.5178826525105295e-07,0.40693245646605253
Nano_Silica,0.03684210526315789,3.684210526315789,0.0008134063338718695,3.288238370971387e-05,1.4104748350692182,4.2140215141146136e-07,0.9999999295052971,7.049470785825125e-06,0.9329036096108897,4.517102807515414e-07,0.4070474837048677
Nano_Silica,0.039473684210526314,3.9473684210526314,0.0008474953407185884,3.286206423194526e-05,1.463508577181187,4.2133535235724463e-07,0.9999999295498728,7.045013214456429e-06,0.9329170359684215,4.5163217747425347e-07,0.4071631069926657
Nano_Silica,0.042105263157894736,4.2105263157894735,0.0008815423528276206,3.284177392887214e-05,1.516553177941003,4.2126843907497016e-07,0.9999999295943846,7.040562043626997e-06,0.932930459965195,4.515539551476179e-07,0.40727932519197046
Nano_Silica,0.04473684210526316,4.473684210526316,0.0009155474560793128,3.28215125764282e-05,1.5696087061716466,4.2120141130654453e-07,0.9999999296388328,7.0361172249878065e-06,0.9329438816018325,4.514756134992345e-07,0.4073961371514839
Nano_Silica,0.04736842105263158,4.736842105263158,0.0009495107353876344,3.280127994975464e-05,1.6226752304977077,4.2113426879308577e-07,0.9999999296832179,7.031678710022829e-06,0.9329573008789576,4.513971522558715e-07,0.40751354170610526
Nano_Silica,0.05,5.0,0.0009834322746962022,3.278107582320674e-05,1.6757528193426785,4.21067011274919e-07,0.9999999297275404,7.027246450050463e-06,0.9329707177971918,4.5131857114346234e-07,0.407631537676951
