M_kg,M_solar,r_s_m,r_s_km,kappa_ms2,T_H_K,S_BH_kB,t_evap_s,t_evap_yr,L_W,A_m2,R_g,kappa_UBP_ms2,T_UBP_K,N_OffBits,delta_T,abs_residual_K
1.2915496650148828e+21,6.493462368098957e-10,1.918250961585409e-06,1.918250961585409e-09,2.342642325574565e+22,94.9944631498069,4.425281945747424e+58,1.8121979781554699e+47,5.742508866819626e+39,2.1351363813818788e-10,4.624030746564637e-11,7.742636826811277e-22,2.342642325574565e+22,94.99446314980689,6.493462368098958e-10,1.495966632580616e-16,1.4210854715202004e-14
2.05651230834866e+21,1.0339428397931923e-09,3.0543979994424663e-06,3.054397999442466e-09,1.471247654858456e+22,59.65929139413685,1.1219702721055096e+59,7.315874513807526e+47,2.318260740299492e+40,8.421417853172109e-11,1.1723603373866206e-10,4.862601580065334e-22,1.471247654858456e+22,59.659291394136844,1.0339428397931925e-09,1.1910009642352715e-16,7.105427357601002e-15
3.274549162877732e+21,1.646329393100921e-09,4.863465378527679e-06,4.863465378527679e-09,9.239864055626304e+21,37.46777371684947,2.8446035911862768e+59,2.9534311673967374e+48,9.358858618515784e+40,3.32158073255381e-11,2.97236077354884e-10,3.0538555088334124e-22,9.239864055626304e+21,37.46777371684947,1.6463293931009213e-09,0.0,0.0
5.214008287999674e+21,2.6214219648062716e-09,7.744012238239723e-06,7.744012238239723e-09,5.802903915226199e+21,23.53085386185128,7.212106944513513e+59,1.1923052594857488e+49,3.778187376371298e+41,1.3100998852250183e-11,7.536017968525217e-10,1.9179102616724926e-22,5.802903915226199e+21,23.53085386185128,2.6214219648062716e-09,0.0,0.0
8.302175681319701e+21,4.174045088647412e-09,1.2330657438371911e-05,1.233065743837191e-08,3.644392779658169e+21,14.778062012763751,1.8285319873834723e+60,4.813356910059366e+49,1.5252607644622422e+42,5.167303905773128e-12,1.910655238331949e-09,1.2045035402587886e-22,3.644392779658169e+21,14.778062012763753,4.174045088647412e-09,1.202022861905721e-16,1.7763568394002505e-15
1.3219411484660287e+22,6.646260173283202e-09,1.9633893669703045e-05,1.9633893669703044e-08,2.2887848784769623e+21,9.28105363856556,4.635995076900706e+60,1.943160491769494e+50,6.15750402999434e+42,2.0380911376106028e-12,4.844207451484874e-09,7.56463327554629e-23,2.2887848784769623e+21,9.28105363856556,6.646260173283202e-09,0.0,0.0
2.1049041445120306e+22,1.0582725713987085e-08,3.12627110565569e-05,3.1262711056556903e-08,1.4374236084498446e+21,5.828772173748764,1.1753937312194401e+61,7.844572441496536e+50,2.485795003896537e+43,8.038651414649844e-13,1.2281831573920312e-08,4.7508101621027743e-23,1.4374236084498446e+21,5.828772173748765,1.0582725713987083e-08,3.0475660850161345e-16,1.7763568394002505e-15
3.351602650938848e+22,1.6850692061029903e-08,4.9779076888549725e-05,4.9779076888549734e-08,9.027439186438096e+20,3.660638799919611,2.980051532568798e+61,3.1668674332632116e+51,1.0035197332063312e+44,3.170609761936919e-13,3.113891969343842e-08,2.983647240283334e-23,9.027439186438096e+20,3.660638799919611,1.6850692061029906e-08,0.0,0.0
5.336699231206302e+22,2.6831067024667183e-08,7.926236759804073e-05,7.926236759804072e-08,5.669494906426653e+20,2.2989878526781617,7.555516845876102e+61,1.2784698483770838e+52,4.051226482296131e+44,1.2505538235143858e-13,7.894851137132998e-08,1.873817422860387e-23,5.669494906426652e+20,2.2989878526781617,2.683106702466718e-08,0.0,0.0
8.497534359086403e+22,4.2722646350359e-08,0.0001262081040858,1.2620810408583638e-07,3.560608034035431e+20,1.4438313736055608,1.9155989144627188e+62,5.161204842493559e+52,1.6354871227512736e+45,4.9324419683584e-14,2.001632525826643e-07,1.1768119524350041e-23,3.560608034035431e+20,1.4438313736055612,4.272264635035899e-08,3.0757692204808883e-16,4.440892098500626e-16
1.3530477745798076e+23,6.80265346696736e-08,0.000200958992516,2.0095899251607999e-07,2.236165616387888e+20,0.9067681819106752,4.85674147241652e+62,2.0835873024298927e+53,6.602489740759414e+45,1.94545674994236e-14,5.074868035956637e-07,7.390722033525774e-24,2.236165616387888e+20,0.906768181910675,6.802653466967359e-08,2.448747203029944e-16,2.220446049250313e-16
2.1544346900318955e+23,1.0831748064514309e-07,0.0003199835459505,3.1998354595051695e-07,1.40437717831248e+20,0.5694768452581188,1.2313609885557084e+63,8.411477899702243e+53,2.665436503315285e+46,7.673282301496467e-15,1.286664022994842e-06,4.641588833612754e-24,1.4043771783124802e+20,0.569476845258119,1.0831748064514307e-07,3.8990980366267265e-16,2.220446049250313e-16
3.430469286314926e+23,1.7247206064931758e-07,0.0005095042943692,5.095042943692753e-07,8.819897974063233e+19,0.3576480557597344,3.1219489296440602e+63,3.3957281451401126e+54,1.0760413165576953e+47,3.0265006549338272e-15,3.262162279569845e-06,2.9150530628251704e-24,8.819897974063233e+19,0.35764805575973446,1.7247206064931755e-07,1.5521166783176882e-16,5.551115123125783e-17
5.462277217684337e+23,2.746242945039888e-07,0.0008112749210575,8.112749210575894e-07,5.539152976436075e+19,0.2246134023776526,7.915278468207497e+63,1.3708613127432576e+55,4.343997365906335e+47,1.1937142222082109e-15,8.270770417189937e-06,1.8307382802953697e-24,5.539152976436075e+19,0.22461340237765268,2.746242945039888e-07,3.7071130202144687e-16,8.326672684688674e-17
8.697490026177798e+23,4.372795387721367e-07,0.0012917790974691,1.2917790974691484e-06,3.4787495032922325e+19,0.141063762867365,2.0068115988179288e+64,5.534190778686806e+55,1.753679233746168e+48,4.708254868470564e-16,2.09694176535216e-05,1.1497569953977407e-24,3.478749503292233e+19,0.14106376286736502,4.372795387721367e-07,1.9675907583527355e-16,2.7755575615628914e-17
1.3848863713938745e+24,6.962726854670058e-07,0.0020568776296978,2.056877629697821e-06,2.1847560733811253e+19,0.0885921542688844,5.0879988737304214e+64,2.2341623685924887e+56,7.079633332675769e+48,1.8570327381598246e-16,5.316511697796927e-05,7.220809018385458e-25,2.1847560733811253e+19,0.08859215426888445,6.962726854670058e-07,6.265921817724058e-16,5.551115123125783e-17
2.205130739903041e+24,1.1086630165425042e-06,0.003275130857776,3.2751308577760416e-06,1.372090487015093e+19,0.0556384548268536,1.289993168981595e+65,9.019352040514749e+56,2.858060194854725e+49,7.324519778424129e-17,0.0001347929499037,4.534878508128592e-25,1.372090487015093e+19,0.05563845482685366,1.1086630165425042e-06,9.97711949478253e-16,5.551115123125783e-17
3.511191734215142e+24,1.7653050448542695e-06,0.0052149345107772,5.21493451077727e-06,8.617128143023036e+18,0.0349425711685968,3.2706028780999557e+65,3.6411279848916655e+57,1.1538038332736538e+50,2.88894152925311e-17,0.0003417492592233,2.8480358684357936e-25,8.617128143023037e+18,0.03494257116859689,1.7653050448542695e-06,2.581539301030674e-15,9.020562075079397e-17
5.590810182512222e+24,2.810864847919669e-06,0.0083036504899112,8.303650489911268e-06,5.411807612981684e+18,0.0219449530665824,8.29217041101103e+65,1.4699296515766402e+58,4.657925987960554e+50,1.1394580685041279e-17,0.0008664589376754,1.7886495290574356e-25,5.411807612981684e+18,0.021944953066582406,2.8108648479196695e-06,3.161954314896085e-16,6.938893903907228e-18
8.902150854450357e+24,4.475691731749802e-06,0.013221759797004,1.3221759797004004e-05,3.398772903666242e+18,0.0137820700935512,2.10236744380268e+66,5.934131372337664e+58,1.8804127602662e+51,4.494257418269136e-18,0.0021967892260654,1.123324032978031e-25,3.398772903666242e+18,0.013782070093551221,4.475691731749802e-06,1.5104176346818948e-15,2.0816681711721685e-17
1.417474162926796e+25,7.126566932764184e-06,0.0210527806224584,2.1052780622458422e-05,2.1345284379633324e+18,0.0086555416859289,5.330267770295983e+66,2.3956190764906184e+59,7.591258766479764e+51,1.772627734180987e-18,0.0055696614045025,7.05480231071869e-26,2.1345284379633324e+18,0.008655541685928981,7.126566932764184e-06,9.419630374313199e-15,8.153200337090993e-17
