step,total_queue,mean_nrci,min_nrci,horizon_radius,leaked_offbits
86,110628.67945907003,0.9664944459004638,1.988137197206602e-09,0.0,104
87,111846.24679246513,0.9664944458961634,1.987267458072696e-09,0.0,112
88,113054.86627664667,0.9664944458918174,1.9863980994048273e-09,0.0,121
89,114263.53658004824,0.9664944458875825,1.985529121036575e-09,0.0,121
90,115482.25734507246,0.9664944458833774,1.984660522801589e-09,0.0,111
91,116689.02970796176,0.9664944458790777,1.983792304533593e-09,0.0,123
92,117886.85398879813,0.9664944458747512,1.9829244660663826e-09,0.0,132
93,119091.72875456973,0.9664944458705441,1.9820570072338276e-09,0.0,125
94,120288.65490298433,0.9664944458662622,1.983172108722983e-09,0.0,133
95,121484.63125574414,0.9664944458620784,1.982304541559512e-09,0.0,134
96,122709.65830167221,0.9664944458578539,1.981437353912023e-09,0.0,105
97,123912.73659594715,0.9664944458535832,1.9805705456145098e-09,0.0,127
98,125116.86485849624,0.9664944458494192,1.979704116501037e-09,0.0,126
99,126313.04275252289,0.9664944458452832,1.978838066405744e-09,0.0,134
