Z,symbol,ubp_id,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,A,N,be_MeV_total,be_per_A_semi,be_per_A_exp,half_life_s,decay_mode,is_stable,log10_half_life,asymmetry,coulomb_energy,is_magic_Z,is_magic_N,magic_factor,ontological_drift,nci,be_proxy,stability_pressure,phase_lock
13,Al,ELEM_Al_013,0.591817,6.897105164854323,8,61.5162,2,0,0,0.19275824583266318,26.982,3.0,577.5,26,13,213.6477553168626,8.217221358340868,8.217221358340868,inf,stable,True,100.0,0.0,37.44004968743406,False,False,0,0,0.591817,2.230971057018093,0.44823530850131055,UNSTABLE
14,Si,ELEM_Si_014,0.608824,6.425105164854323,8,29.8755,2,0,0,0.24149432057282788,28.086,4.0,786.5,28,14,236.36702675934464,8.441679527119451,8.441679527119451,inf,stable,True,100.0,0.0,42.61426264749622,False,False,0,0,0.608824,2.6531973504882718,0.37690373835778507,PHASE_LOCK
15,P,ELEM_P_015,0.583257,7.145105164854323,12,64.3066,2,0,0,0.3232142749901492,30.974,5.0,1011.8,30,15,250.5493034707398,8.35164344902466,8.35164344902466,inf,stable,True,100.0,0.0,48.0524066718222,False,False,0,0,0.583257,2.4489086719211013,0.4083451585867135,UNSTABLE
16,S,ELEM_S_016,0.574676,7.401105164854323,12,39.6298,2,0,0,0.24149432057282788,32.06,6.0,999.6,32,16,272.8153739598712,8.525480436245974,8.525480436245974,inf,stable,True,100.0,0.0,53.748231988515286,False,False,0,0,0.574676,2.484714321764669,0.40246075423664396,UNSTABLE
17,Cl,ELEM_Cl_017,0.600344,6.657105164854324,8,39.1069,2,0,0,0.24149432057282788,35.45,7.0,1251.2,34,17,287.07409819363846,8.44335582922466,8.44335582922466,inf,stable,True,100.0,0.0,59.69604133548943,False,False,0,0,0.600344,3.0661519526177807,0.3261416966456057,PHASE_LOCK
18,Ar,ELEM_Ar_018,0.617242,6.201105164854323,12,34.5376,2,0,0,0.24149432057282788,39.948,8.0,1520.6,36,18,308.90424420217465,8.580673450060408,8.580673450060408,inf,stable,True,100.0,0.0,65.89060981668622,False,False,0,0,0.617242,3.5833470662518603,0.27906869792715566,PHASE_LOCK
19,K,ELEM_K_019,0.591817,6.897105164854323,12,34.5376,0,0,0,0.24149432057282788,39.098,1.0,418.8,38,19,323.1680044011045,8.504421168450119,8.504421168450119,inf,stable,True,100.0,0.0,72.32712039125883,False,False,0,0,0.591817,3.2606500064110597,0.30668731634300195,UNSTABLE
20,Ca,ELEM_Ca_020,0.637914,5.676105164854324,8,39.1069,2,0,0,0.19275824583266318,40.078,2.0,589.8,40,20,344.57653900024286,8.61441347500607,8.61441347500607,inf,stable,True,100.0,0.0,79.00111125103521,True,True,2,0,0.7181518266213949,4.49543467904631,0.22244789912332713,PHASE_LOCK
21,Sc,ELEM_Sc_021,0.600344,6.657105164854324,8,29.8755,2,0,0,0.24149432057282788,44.956,2.0,633.1,44,23,382.72565539540653,8.698310349895603,8.698310349895603,inf,stable,True,100.0,0.045454545454545456,84.58655397029524,False,False,0,0,0.5730556363636363,3.96796135044654,0.2520185837716044,PHASE_LOCK
22,Ti,ELEM_Ti_022,0.604591,6.540105164854324,8,61.5162,2,0,0,0.24149432057282788,47.867,2.0,658.8,47,25,412.8693223266293,8.784453666524028,8.784453666524028,inf,stable,True,100.0,0.06382978723404255,91.02184275596228,False,False,0,0,0.566000085106383,4.344850164291348,0.23015753413515047,PHASE_LOCK
