ubp_id,Z,symbol,fingerprint,nrci_score,symmetry_tax,weight,tilt,core_tension,errors_corrected,snap_distance,macro_nrci,mass_amu,valence_e,ionisation_kJ,bp_K,mp_K,en,phase_STP,crystal,vector
ELEM_S_016,16,S,e06b88346b6e9f55342ffee9dc02973469d9ee6e34363c39bff0eaf4d1da9787,0.574676,7.401105164854323,12,39.6298,2,0,0,0.24149432057282788,32.06,6.0,999.6,717.87,388.36,2.58,3.0,4.0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]"
ELEM_Cl_017,17,Cl,d39f7f43ce07e7996f477caaa18fa5b759cc13839eb3c778c2e0a37b93e5a641,0.600344,6.657105164854324,8,39.1069,2,0,0,0.24149432057282788,35.45,7.0,1251.2,239.11,171.6,3.16,1.0,4.0,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
ELEM_Ar_018,18,Ar,16649e61af41ef13fb14aad02da978a5ed92ee896fcb4fc10cb11c55dc3509ed,0.617242,6.201105164854323,12,34.5376,2,0,0,0.24149432057282788,39.948,8.0,1520.6,87.3,83.8,0.0,1.0,2.0,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]"
ELEM_K_019,19,K,346acf848cf46fbdad57df6451af8fe363c22cf465b46bdbb519c20fab69a2b4,0.591817,6.897105164854323,12,34.5376,0,0,0,0.24149432057282788,39.098,1.0,418.8,1032.0,336.53,0.82,3.0,3.0,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]"
ELEM_Ca_020,20,Ca,7c2979174b507966d9c29dc92b3c80ef9bfb0616ab21b7f4baee5855c5119701,0.637914,5.676105164854324,8,39.1069,2,0,0,0.19275824583266318,40.078,2.0,589.8,1757.0,1115.0,1.0,3.0,2.0,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1]"
ELEM_Sc_021,21,Sc,f38fa9a0dcb5ece0532dd245b4ebd2742af39f6e36b72fabf1ec4e50397bf788,0.600344,6.657105164854324,8,29.8755,2,0,0,0.24149432057282788,44.956,2.0,633.1,3109.0,1814.0,1.36,3.0,1.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1]"
ELEM_Ti_022,22,Ti,44d5c2911ebc49f42ecbb9dfab9bf41e26007a5d89b8ec5f8c1c735cbe4b8d9f,0.604591,6.540105164854324,8,61.5162,2,0,0,0.24149432057282788,47.867,2.0,658.8,3560.0,1941.0,1.54,3.0,1.0,"[1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0]"
ELEM_V_023,23,V,cbbee227d33160aecd8c8e7d2c9c57e357f71a70a5ab744511a58e775298d52e,0.600344,6.657105164854324,8,39.1069,2,0,0,0.24149432057282788,50.942,2.0,650.9,3680.0,2183.0,1.63,3.0,3.0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
ELEM_Cr_024,24,Cr,b4248bea9877b143ad7f05b33fca73067292783f326c39fc764efd54cff0d2e8,0.613042,6.312105164854323,8,54.4316,2,0,0,0.24149432057282788,51.996,1.0,652.9,2944.0,2180.0,1.66,3.0,3.0,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]"
ELEM_Mn_025,25,Mn,f632b320a557b95560f25fd3c1e9ae6ccf3d0e18dfdd6316fe153b925a7fd27c,0.613042,6.312105164854323,8,29.8755,2,0,0,0.24149432057282788,54.938,2.0,717.3,2334.0,1519.0,1.55,3.0,3.0,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]"
