strategy,property,metric,spearman_rho,spearman_p,pearson_r,pearson_p,r_squared,n_samples,p_adjusted_fdr,significant_fdr,p_adjusted_bonferroni
Strategy2_TensionBased,toxicity_diff,weighted_hamming,0.3140100476416323,0.0,0.3274032092282059,0.0,0.09860231001990019,93476,0.0,True,0.0
Strategy2_TensionBased,toxicity_diff,normalized_hamming,0.23136323578065304,0.0,0.24178879736398096,0.0,0.05352894687089405,93476,0.0,True,0.0
Strategy3_BasinAttraction,persistence_diff,jaccard_offbits,0.27019921487869664,0.0,0.2528285632336835,0.0,0.07300761572106408,93476,0.0,True,0.0
Strategy3_BasinAttraction,persistence_diff,jaccard_onbits,0.28429667914705553,0.0,0.3499143879090097,0.0,0.08082460177404384,93476,0.0,True,0.0
Strategy3_BasinAttraction,persistence_diff,jaccard_balanced,0.34194284354051896,0.0,0.3700609158922342,0.0,0.11692490824857583,93476,0.0,True,0.0
Strategy3_BasinAttraction,persistence_diff,hamming_distance,0.34410554350018857,0.0,0.31909117316988655,0.0,0.11840862506756017,93476,0.0,True,0.0
Strategy3_BasinAttraction,persistence_diff,weighted_hamming,0.4244618218924086,0.0,0.4211622816838455,0.0,0.1801678382442228,93476,0.0,True,0.0
Strategy3_BasinAttraction,persistence_diff,normalized_hamming,0.34410554350018857,0.0,0.31909117316988667,0.0,0.11840862506756017,93476,0.0,True,0.0
Strategy3_BasinAttraction,biodegradability_diff,jaccard_offbits,0.22419834081333676,0.0,0.1930652702614304,0.0,0.050264896023453104,93476,0.0,True,0.0
Strategy3_BasinAttraction,biodegradability_diff,jaccard_onbits,0.3465456662742497,0.0,0.38864151428224236,0.0,0.12009389881346365,93476,0.0,True,0.0
Strategy3_BasinAttraction,biodegradability_diff,jaccard_balanced,0.3852067499771261,0.0,0.36974326449102146,0.0,0.14838424022794014,93476,0.0,True,0.0
Strategy3_BasinAttraction,biodegradability_diff,hamming_distance,0.36302957101966365,0.0,0.3175538614489803,0.0,0.13179046943472103,93476,0.0,True,0.0
Strategy3_BasinAttraction,biodegradability_diff,weighted_hamming,0.4528859534190605,0.0,0.43633082622612085,0.0,0.20510568680429145,93476,0.0,True,0.0
Strategy3_BasinAttraction,biodegradability_diff,normalized_hamming,0.36302957101966365,0.0,0.31755386144898035,0.0,0.13179046943472103,93476,0.0,True,0.0
Strategy3_BasinAttraction,toxicity_diff,jaccard_offbits,0.09247476792180002,1.3390914718448164e-176,0.0902051802175403,4.2067504138343825e-168,0.008551582702190775,93476,1.3773512281832398e-176,True,1.4462187895924018e-174
Strategy3_BasinAttraction,toxicity_diff,jaccard_onbits,0.10161380161472487,5.4872242277249085e-213,0.139226243070542,0.0,0.010325364678596663,93476,5.698271313406636e-213,True,5.926202165942901e-211
Strategy3_BasinAttraction,toxicity_diff,jaccard_balanced,0.13613791918606674,0.0,0.14235402580812279,0.0,0.01853353304031204,93476,0.0,True,0.0
Strategy3_BasinAttraction,toxicity_diff,hamming_distance,0.14078137069759625,0.0,0.13278225576896377,0.0,0.01981939433549401,93476,0.0,True,0.0
