Particle/Observable,PDG Value,UBP Expression,Predicted Value,Error (%)
,,,,
LEPTONS,,,,
Muon (μ),105.658 MeV,(1/Y)⁴ + ⌊1/Y⌋,105.661 MeV,0.0020
Tau (τ) correction,0.082527,(29/93)×Y,0.082533,0.0077
,,,,
WEAK BOSONS,,,,
W correction,204.31,75e or 54(1/Y),203.87,0.215
,,,,
QUARK MIXING,,,,
V_ud (CKM),0.97435,cos(π/14),0.97493,0.059
V_us (CKM),0.22500,sin(π/14) or 2/9,0.22252,1.102
