angle_deg,angle_rad,ubp_correlation,qm_prediction,difference
0.0,0.0,-0.9999970000000005,-1.0,2.9999999995311555e-06
14.999999999999998,0.2617993877991494,-0.9659229285115899,-0.9659258262890683,2.8977774784166854e-06
29.999999999999996,0.5235987755982988,-0.8660228057082278,-0.8660254037844387,2.5980762109467648e-06
45.0,0.7853981633974483,-0.7071046598662043,-0.7071067811865476,2.121320343273503e-06
59.99999999999999,1.0471975511965976,-0.49999850000000035,-0.5000000000000001,1.4999999997655777e-06
75.00000000000001,1.3089969389957472,-0.25881826864538554,-0.25881904510252074,7.764571351986937e-07
90.0,1.5707963267948966,-6.123215626034781e-17,-6.123233995736766e-17,1.8369701984665565e-22
104.99999999999999,1.832595714594046,0.25881826864538543,0.25881904510252063,7.764571351986937e-07
119.99999999999999,2.0943951023931953,0.4999985,0.4999999999999998,1.4999999997655777e-06
135.0,2.356194490192345,0.7071046598662042,0.7071067811865475,2.121320343273503e-06
150.00000000000003,2.6179938779914944,0.8660228057082278,0.8660254037844387,2.5980762109467648e-06
164.99999999999997,2.8797932657906435,0.9659229285115898,0.9659258262890682,2.8977774784166854e-06
180.0,3.141592653589793,0.9999970000000005,1.0,2.9999999995311555e-06
