id,name,type,category,fraction,carbon_count,molecular_weight,frequency_hz,complexity,bit_state_decimal,glr_errors,glr_nrci_before,glr_nrci_after,glr_efficiency,glr_improvement,nrci,nrci_regime,soc_energy_cu,modal_sum,wall_proximity,wall_safe,nrci_risk,coherence_factor,resonance_strength,emergence_intensity,success,error
116,"2,2,3-Trimethyl-C14",Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,23,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,
117,2-Ethyl-C14,Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,
118,3-Ethyl-C14,Branched alkanes,Alkanes,Diesel,14,198.38,709988079400.2195,20,3703633,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,83.92503878903499,1.59838,WallProximity.SAFE,True,0.0,0.0,0.7803595749141533,0.1923891550645221,True,
121,"2,2-Dimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,20,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
122,"2,3-Dimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,21,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
123,"2,4-Dimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,22,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
124,"2,2,3-Trimethyl-C15",Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,24,3965841,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
125,2-Ethyl-C15,Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,21,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
126,3-Ethyl-C15,Branched alkanes,Alkanes,Diesel,15,212.406,686146116732.9568,21,3965777,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,96.26915266569986,1.712406,WallProximity.SAFE,True,0.0,0.0,0.7504537250958354,0.1983487149292778,True,
127,2-Methyl-C16,Branched alkanes,Alkanes,Diesel,16,226.432,664555258312.6898,18,4227858,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,109.45987255372644,1.826432,WallProximity.SAFE,True,0.0,0.0,0.7130099647144913,0.2039254938149209,True,
128,3-Methyl-C16,Branched alkanes,Alkanes,Diesel,16,226.432,664555258312.6898,18,4227858,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,109.45987255372644,1.826432,WallProximity.SAFE,True,0.0,0.0,0.7130099647144913,0.2039254938149209,True,
135,2-Methyl-C17,Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,19,4490002,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
136,3-Methyl-C17,Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,19,4490002,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
137,"2,2-Dimethyl-C17",Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,22,4490066,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
138,"2,3-Dimethyl-C17",Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,23,4490066,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
139,"2,4-Dimethyl-C17",Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,24,4490130,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
140,"2,2,3-Trimethyl-C17",Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,26,4490130,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
141,2-Ethyl-C17,Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,23,4490066,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
142,3-Ethyl-C17,Branched alkanes,Alkanes,Diesel,17,240.458,644882192557.4109,23,4490066,3,0.875,0.975,1.0,0.0999999999999999,0.0007374461291984,CoherenceRegime.SUBCOHERENT,123.49719845311472,1.940458,WallProximity.SAFE,True,0.0,0.0008916945728187,0.6694688654569966,0.2091657105691608,True,
284,Cyclo-C12H24,Cycloalkanes,Cycloalkanes,Diesel,12,168.312,770801337712.6996,14,3179209,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,60.955632818042965,1.3683120000000002,WallProximity.SAFE,True,0.0,0.0,0.8231092971646984,0.1785013844306502,True,
288,Cyclo-C13H26,Cycloalkanes,Cycloalkanes,Diesel,13,182.338,740561970950.5564,15,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,
291,Cyclo-C14H28,Cycloalkanes,Cycloalkanes,Diesel,14,196.364,713623371385.9878,16,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,
321,1-C13ene,Linear alkenes,Alkenes,Diesel,13,182.338,740561970950.5564,14,3441361,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,71.5382079600643,1.482338,WallProximity.SAFE,True,0.0,0.0,0.8126373341409747,0.1854538056824926,True,
324,1-C14ene,Linear alkenes,Alkenes,Diesel,14,196.364,713623371385.9878,15,3703505,2,0.9166666666666666,1.0,1.0,0.0833333333333333,0.0,CoherenceRegime.SUBCOHERENT,82.96738911344735,1.596364,WallProximity.SAFE,True,0.0,0.0,0.7920916115962445,0.1918907423567729,True,
330,1-C16ene,Linear alkenes,Alkenes,Diesel,16,224.416,667533539730.2262,17,4227858,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,108.36556945429857,1.824416,WallProximity.SAFE,True,0.0,0.0,0.7253176803279657,0.2034891317523102,True,
332,1-C17ene,Linear alkenes,Alkenes,Diesel,17,238.442,647602657164.7449,18,4490002,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,122.33456864176677,1.938442,WallProximity.SAFE,True,0.0,0.0,0.6818099080912375,0.20875491949678,True,
334,1-C18ene,Linear alkenes,Alkenes,Diesel,18,252.468,629356656816.9368,19,4748050,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,137.15017384059664,2.052468,WallProximity.SAFE,True,0.0,0.0,0.6335395997462686,0.2137196362417865,True,
376,C2-Naphthalene,Naphthalenes,Aromatics,Diesel,12,156.216,800087054207.5043,16,3183369,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,56.074835073213855,1.3562160000000003,WallProximity.CAUTION,True,0.0,0.0,0.8871695641189951,0.1748768004913971,True,
377,C3-Naphthalene,Naphthalenes,Aromatics,Diesel,13,170.242,766419672374.1737,17,3441417,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,66.24744994371451,1.470242,WallProximity.SAFE,True,0.0,0.0,0.8807252319144165,0.1821169165677705,True,
378,C4-Naphthalene,Naphthalenes,Aromatics,Diesel,14,184.268,736673485511.7124,18,3703569,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,77.26667082557691,1.5842680000000002,WallProximity.SAFE,True,0.0,0.0,0.8635826457283369,0.1887992200283993,True,
381,C7-Naphthalene,Naphthalenes,Aromatics,Diesel,17,226.346,664681494969.2999,21,4490066,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,115.40396953933433,1.926346,WallProximity.SAFE,True,0.0,0.0,0.7581289039374206,0.2062220747462511,True,
412,Aromatic-C13-412,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,
413,Aromatic-C14-413,Aromatics,Aromatics,Diesel,14,190.316,724873710818.0087,8,3703441,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,80.1073485911574,1.590316,WallProximity.SAFE,True,0.0,0.0,0.8276126144218086,0.1903672357609857,True,
427,Aromatic-C13-427,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,
428,Aromatic-C14-428,Aromatics,Aromatics,Diesel,14,190.316,724873710818.0087,8,3703441,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,80.1073485911574,1.590316,WallProximity.SAFE,True,0.0,0.0,0.8276126144218086,0.1903672357609857,True,
442,Aromatic-C13-442,Aromatics,Aromatics,Diesel,13,176.29,753158117252.3292,8,3441297,3,0.875,0.975,1.0,0.0999999999999999,0.0,CoherenceRegime.SUBCOHERENT,68.88314757353469,1.47629,WallProximity.SAFE,True,0.0,0.0,0.8465212890838342,0.183811298372123,True,
